"upgrade_cost"		"Upgrade:"
"tech_points"	"Tech Points"

"jex_onibi"		"Jex Onibi"

"DOTA_Tooltip_ability_jex_cosmic_nature_q"				"Cosmic Barrier"
"DOTA_Tooltip_ability_jex_cosmic_nature_q_Description"	"Jex forms a spatial barrier that provides magic immunity for the duration."	
"DOTA_Tooltip_ability_jex_cosmic_nature_q_duration_per_tech"	"<font color=\"#f4b942\">DURATION PER TECH LEVEL</font>:"
"DOTA_Tooltip_ability_jex_cosmic_nature_q_duration_base"		"DURATION BASE:"
"DOTA_Tooltip_ability_jex_cosmic_nature_q_q_4_damage_reduction_pct"	"%<font color=\"#7DFF12\">[Q4] Damage reduction while Cosmic Barrier is active</font>:"
"DOTA_Tooltip_ability_jex_cosmic_nature_q_e_4_chance_to_add_time"	"%<font color=\"#7DFF12\">[E4] Taking damage with Cosmic Barrier active has chance to add 0.5 seconds to barrier's remaining duration</font>:"



"DOTA_Tooltip_modifier_jex_magic_immunity"				"Cosmic Barrier"
"DOTA_Tooltip_modifier_jex_magic_immunity_Description"	"Magic Immune"	

"DOTA_Tooltip_ability_jex_cosmic_cosmic_q"					"Galaxy Laser"
"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_Description"		"Element: <font color=\"#C25DFC\">Cosmic</font><br>Jex powers up and fires a galactic laser toward the target location. Enemies closer to the starting point of the beam can take multiple instances of damage depending on the beam's total length. Enemies who are hit by the beam receive a debuff that makes them take increased post-mitigation damage from all sources."

"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_attack_damage_added_per_tech"		"%<font color=\"#f4b942\">ATTACK DAMAGE ADDED TO LASER BASE DAMAGE PER TECH</font>:"
"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_postmitigation_per_tech"			"%<font color=\"#f4b942\">POST-MITIGATION DAMAGE DEBUFF PER TECH</font>:"
"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_damage"							"BASE DAMAGE:"
"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_cast_range"						"CAST RANGE:"
"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_debuff_duration"					"DEBUFF DURATION:"
"DOTA_Tooltip_ability_jex_cosmic_cosmic_q_e_4_damage_increase_pct"			"%<font color=\"#7DFF12\">[E4] Laser base damage increase</font>:"

"DOTA_Tooltip_modifier_jex_q_cosmic_cosmic_postmitigation"			"Galaxy Laser"
"DOTA_Tooltip_modifier_jex_q_cosmic_cosmic_postmitigation_Description"	"Taking increased post-mitigation damage"

"DOTA_Tooltip_ability_jex_thunder_thunder_q"				"Wrath of Lightning"
"DOTA_Tooltip_ability_jex_thunder_thunder_q_Description"	"Element: <font color=\"#5CCDF9\">Lightning</font><br>A ring of electricity flashes around Jex. All enemies inside the area are struck by a bolt of lightning."
"DOTA_Tooltip_ability_jex_thunder_thunder_q_attack_damage_per_tech"	"%<font color=\"#f4b942\">ATTACK DAMAGE ADDED TO BASE DAMGAGE PER TECH</font>:"
"DOTA_Tooltip_ability_jex_thunder_thunder_q_radius_per_tech"		"%<font color=\"#f4b942\">RADIUS PER TECH</font>:"
"DOTA_Tooltip_ability_jex_thunder_thunder_q_base_damage"			"BASE DAMAGE:"
"DOTA_Tooltip_ability_jex_thunder_thunder_q_radius"					"BASE RADIUS"		
"DOTA_Tooltip_ability_jex_thunder_thunder_q_agility_added_to_base_damage"	"AGILITY MULTIPLIER ADDED TO BASE DAMAGE:"
"DOTA_Tooltip_ability_jex_thunder_thunder_q_q_4_damage_increase_pct"		"%<font color=\"#7DFF12\">[Q4] Lightning base damage increase</font>:"

"DOTA_Tooltip_ability_jex_lightning_cosmic_q"				"Electron Shield"
"DOTA_Tooltip_ability_jex_lightning_cosmic_q_Description"	"Quantum electric particles form a barrier around Jex that makes his health unable to drop below a minimum value. Each time the shield is hit, 1 stack is removed."
"DOTA_Tooltip_ability_jex_lightning_cosmic_q_stacks_per_tech"	"<font color=\"#f4b942\">STACKS PER TECH LEVEL</font>:"
"DOTA_Tooltip_ability_jex_lightning_cosmic_q_min_health"		"MINIMUM HEALTH:"
"DOTA_Tooltip_ability_jex_lightning_cosmic_q_duration"			"DURATION:"
"DOTA_Tooltip_ability_jex_lightning_cosmic_q_w_4_bonus_attack_damage_while_shield_active"		"%<font color=\"#7DFF12\">[W4] Increased Base Attack Damage while Electron Shield is active</font>:"
"DOTA_Tooltip_ability_jex_lightning_cosmic_q_e_4_mana_regen_while_shield_active"			"<font color=\"#7DFF12\">[E4] Increased Mana Regen while Electron Shield is active</font>:"

"DOTA_Tooltip_modifier_jex_lightning_cosmic_shield"							"Electron Shield"
"DOTA_Tooltip_modifier_jex_lightning_cosmic_shield_Description"				"Health can't fall below %min_health"

"DOTA_Tooltip_ability_jex_lightning_nature_q"				"Charged Mushroom"
"DOTA_Tooltip_ability_jex_lightning_nature_q_Description"	"Element: <font color=\"#5CCDF9\">Lightning</font> / <font color=\"#69BC71\">Nature</font><br>An electrified mushroom warrior is summoned to fight for Jex. The minion inherits armor and attack damage from their summoner, and their attacks have a 30% chance to trigger a chain lightning effect that deals magic damage based on attack power."
"DOTA_Tooltip_ability_jex_lightning_nature_q_chain_lightning_max_targets_per_tech"	"%<font color=\"#f4b942\">SHROOM CHAIN LIGHTNING DAMAGE PER TECH</font>:"
"DOTA_Tooltip_ability_jex_lightning_nature_q_armor_mult_per_tech"		"%<font color=\"#f4b942\">SHROOM ARMOR AS A MULTIPLE OF JEX'S PER TECH</font>:"
"DOTA_Tooltip_ability_jex_lightning_nature_q_attack_mult_per_tech"		"%<font color=\"#f4b942\">SHROOM ATTACK DAMAGE AS A MULTIPLE OF JEX'S PER TECH</font>:"
"DOTA_Tooltip_ability_jex_lightning_nature_q_health_mult"				"SHROOM HEALTH AS A MULTIPLE OF JEX'S:"
"DOTA_Tooltip_ability_jex_lightning_nature_q_duration"					"SHROOM DURATION"
"DOTA_Tooltip_ability_jex_lightning_nature_q_q_4_additional_duration"	"<font color=\"#7DFF12\">[Q4] Additional shroom life duration in seconds</font>:"
"DOTA_Tooltip_ability_jex_lightning_nature_q_e_4_lightning_damage_increase"	"%<font color=\"#7DFF12\">[E4] Additional shroom chain lightning damage</font>:"

"DOTA_Tooltip_ability_jex_nature_nature_q"					"Oak Infusion"
"DOTA_Tooltip_ability_jex_nature_nature_q_Description"		"Jex binds his body with ancient oak particles, increasing his armor and health regen. Enemies who damage Jex while the shield is active are stunned for a short duration."
"DOTA_Tooltip_ability_jex_nature_nature_q_health_regen_per_tech"		"<font color=\"#f4b942\">HEALTH REGEN PER TECH</font>:"
"DOTA_Tooltip_ability_jex_nature_nature_q_duration_per_tech_level"		"<font color=\"#f4b942\">BUFF DURATION PER TECH</font>:"
"DOTA_Tooltip_ability_jex_nature_nature_q_stun_per_tech"				"<font color=\"#f4b942\">STUN DURATION PER TECH</font>:"
"DOTA_Tooltip_ability_jex_nature_nature_q_armor"						"ARMOR:"
"DOTA_Tooltip_ability_jex_nature_nature_q_base_duration"				"BASE DURATION:"
"DOTA_Tooltip_ability_jex_nature_nature_q_q_4_strength_while_shield_active"	"<font color=\"#7DFF12\">[Q4] Strength Bonus while Oak Infusion is active</font>:"

"DOTA_Tooltip_modifier_jex_nature_nature_shield_visible"	"Oak Infusion"
"DOTA_Tooltip_modifier_jex_nature_nature_shield_visible_Description"	"Increased armor and health regen"

"DOTA_Tooltip_ability_jex_cosmic_cosmic_w"					"Nebula Bomb"
"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_Description"		"Element: <font color=\"#C25DFC\">Cosmic</font><br>Tosses a bomb into the sky that vacuums, damages and roots enemies at the impact point."
"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_root_duration_per_tech"		"<font color=\"#f4b942\">ROOT DURATION PER TECH</font>:"
"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_aoe_per_tech_level"			"<font color=\"#f4b942\">AOE RADIUS INCREASE PER TECH</font>:"
"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_attack_power_added_per_tech"	"%<font color=\"#f4b942\">ATTACK POWER ADDED TO BASE DAMAGE PER TECH</font>:"
"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_damage_base"					"BASE DAMAGE:"
"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_aoe_base"						"BASE AOE RADIUS:"
"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_intelligence_added_to_damage"	"INTELLIGENCE ADDED TO BASE DAMAGE:"
"DOTA_Tooltip_ability_jex_cosmic_cosmic_w_e_4_damage_increase_pct"		"%<font color=\"#7DFF12\">[E4] Nebula Bomb base damage increase</font>:"	

"DOTA_Tooltip_ability_jex_lightning_lightning_w"			"Vortex Weapon"
