		//Abilities
		"DOTA_Tooltip_ability_seismic_flare"										"Seismic Flare"
		"DOTA_Tooltip_ability_seismic_flare_Description"							"Element: <font color=\"#EF4126\">Fire</font> / <font color=\"#AF843D\">Earth</font><br>Summons a tremor from beneath the Earth, vacuuming all targets towards the cast point and stunning them."
		"DOTA_Tooltip_ability_seismic_flare_Lore"									"Base Ability: Q"
    	"DOTA_Tooltip_ability_seismic_flare_light_strike_array_aoe"				"AREA:"
    	"DOTA_Tooltip_ability_seismic_flare_light_strike_array_stun_duration"		"STUN DURATION:"

    	"DOTA_Tooltip_ability_flamewaker_rune_q_1"								"[Q1] Thick Skin"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_Description"					"Gain additional armor and health regen."
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_property_one"					"Armor Bonus"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_suffix"						""
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_property_two"					"Health Regen"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_1_suffix_two"					""

		"DOTA_Tooltip_modifier_flamewaker_rune_q_1" 							"Thick Skin"
		"DOTA_Tooltip_modifier_flamewaker_rune_q_1_description" 				"Gaining Armor and Health Regen."

		"DOTA_Tooltip_ability_flamewaker_rune_q_2"								"[Q2] Restorative Earth"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_2_Description"					"Heal HP over 5 seconds for each unit struck by Seismic Flare"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_2_property_one"					"Heal/Second"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_2_suffix"						" per unit hit"

    	"DOTA_Tooltip_flamewaker_rune_q_2_heal_effect"							"Restorative Earth"
    	"DOTA_Tooltip_flamewaker_rune_q_2_heal_effect_Description"				"Healing HP every 0.5 seconds"	

		"DOTA_Tooltip_ability_flamewaker_rune_q_3"								"[Q3] Eruption"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_Description"					"Seasmic flare also creates a burst of lava at the cast point for 7 seconds."
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_property_one"					"Lava DPS"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_suffix"						"x Strength"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_property_two"					"Flat Lava DPS"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_3_suffix_two"					""

		"DOTA_Tooltip_modifier_flamewaker_rune_q_3_buff" 						"Warrior's Call"
		"DOTA_Tooltip_modifier_flamewaker_rune_q_3_buff_description" 			"Increased damage and attack speed."
		
		"DOTA_Tooltip_ability_flamewaker_rune_q_4"								"[Q4] Molten Flux"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_Description"					"Health restored by Restorative Earth and damage caused by Eruption increase Flamewaker's attack damage for 4 seconds."
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_property_one"					"Attack Bonus From Restorative Earth"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_suffix"						"per health point restored"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_property_two"					"Attack Bonus From Eruption"
    	"DOTA_Tooltip_ability_flamewaker_rune_q_4_suffix_two"					"per 10 damage dealt"

		"DOTA_Tooltip_modifier_flamewaker_rune_q_4" 							"Molten Flux"
		"DOTA_Tooltip_modifier_flamewaker_rune_q_4_description" 				"Increased Attack Damage."
		
		"DOTA_Tooltip_ability_second_heartbeat"										"Second Heartbeat"
		"DOTA_Tooltip_ability_second_heartbeat_Description"							"Element: <font color=\"#EF4126\">Fire</font><br>Flamewaker's heart pulses with pure flame, dealing damage to all enemies in front of him."
		"DOTA_Tooltip_ability_second_heartbeat_Lore"									""
    	"DOTA_Tooltip_ability_second_heartbeat_damage"									"DAMAGE:"

		"DOTA_Tooltip_ability_flamewaker_rune_w_1"								"[W1] Incendiary Blade"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_1_Description"					"Your basic attacks explode with fire, dealing physical damage in a 480 radius."
    	"DOTA_Tooltip_ability_flamewaker_rune_w_1_property_one"					"Damage"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_1_suffix"						"% of attack damage."

		"DOTA_Tooltip_modifier_flamewaker_rune_w_1" 							"Incendiary Blade"
		"DOTA_Tooltip_modifier_flamewaker_rune_w_1_description" 				"Your attacks explode with fire damage."

		"DOTA_Tooltip_ability_flamewaker_rune_w_2"								"[W2] Volcanic Pulse"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_2_Description"					"Increases the range and base damage of Second Heartbeat base skill."
    	"DOTA_Tooltip_ability_flamewaker_rune_w_2_property_one"					"Range Increase"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_2_suffix"						""
     	"DOTA_Tooltip_ability_flamewaker_rune_w_2_property_two"                 "Damage Increase"
        "DOTA_Tooltip_ability_flamewaker_rune_w_2_suffix_two"                   "%"
		
		"DOTA_Tooltip_ability_flamewaker_rune_w_3"								"[W3] Searing Heat"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_3_Description"					"Second Heartbeat also burns through enemies armor, leaving a stacking armor reduction debuff on targets. Lasts 6 seconds."
    	"DOTA_Tooltip_ability_flamewaker_rune_w_3_property_one"					"Stacking Armor Reduction"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_3_suffix"						""
		
		"DOTA_Tooltip_modifier_flamewaker_rune_w_4_cooldown"					"Dragon's Wrath Cooldown"

  		"DOTA_Tooltip_ability_flamewaker_rune_w_4"								"[W4] Dragon's Wrath"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_4_Description"					"When you cast Second Heartbeat, immediately leap to the last target that damaged you and deal a massive critical strike. 0.5 second cooldown. Damage taken is reduced by 100% while jumping."
    	"DOTA_Tooltip_ability_flamewaker_rune_w_4_property_one"					"Damage Bonus"
    	"DOTA_Tooltip_ability_flamewaker_rune_w_4_suffix"						"%"
		
		"DOTA_Tooltip_ability_heat_wave"										"Heat Wave"
		"DOTA_Tooltip_ability_heat_wave_Description"							"Element: <font color=\"#EF4126\">Fire</font><br>Flamewaker activates an intense heat energy, gaining movespeed, attack damage, cliff walking, and increased max movespeed."
		"DOTA_Tooltip_ability_heat_wave_Lore"									""
