//Abilities

		"omni_mace_effect"													"Эффект Omni Mace"
		"omniro_element_help_disable"												"Нажмите, чтобы установить как текущий элемент.<br>Alt-Клик для исключения элемента из цикла."
		"omniro_element_help_enable"												"Нажмите, чтобы установить как текущий элемент.<br>Alt-Клик для исключения элемента из цикла."

		"omniro_normal_special_description"									"<br>Нет особого эффекта."


		"DOTA_Tooltip_ability_omniro_omni_mace"								"Omni Mace"
		"DOTA_Tooltip_ability_omniro_omni_mace_Description"					"Дает дополнительный эффект при атаке. Удар по противнику изменяет элемент на следующий в цикле. Если способность включена, то элемент не будет переключаться автоматически. Для дополнительной информации наведите курсор на панель элементов Omniro. Все особые эффекты растут с увеличением уровня руны соответствующего элемента. Урон от дополнительной порции имеет элемент и определенный тип урона."	
		"DOTA_Tooltip_ability_omniro_omni_mace_damage_mult"					"% ДОПОЛНИТЕЛЬНАЯ ПОРЦИЯ УРОНА ОТ УРОНА АТАКИ:"

		"omniro_fire_special_description"									"Базовый урон атаки увеличен на <% OMNIRO_FIRE_SPECIAL_DURATION %> секунд."
		"omniro_fire_special_a_pretext"										"БАЗОВЫЙ УРОН АТАКИ: "		

		"DOTA_Tooltip_modifier_omnimace_fire_buff"							"Omni Mace: Огонь"	
		"DOTA_Tooltip_modifier_omnimace_fire_buff_Description"				"Увеличен урон атаки"							

		"omniro_earth_special_description"									"Броня и магическое сопротивление увеличеный на <% OMNIRO_EARTH_SPECIAL_DURATION %> секунд."
		"omniro_earth_special_a_pretext"									"БРОНЯ:"		
		"omniro_earth_special_b_pretext"									"МАГ. СОПРОТИВЛЕНИЕ:"	

		"DOTA_Tooltip_modifier_omnimace_earth_buff"							"Omni Mace: Земля"
		"DOTA_Tooltip_modifier_omnimace_earth_buff_Description"				"Броня и магическое сопротивление увеличены."									

		"omniro_lightning_special_description"									"Наносит урон в зависимости от текущих ХП цели."
		"omniro_lightning_special_a_pretext"										"ДОПОЛНИТЕЛЬНЫЙ УРОН ОТ % ЗДОРОВЬЯ ЦЕЛИ: "												

		"omniro_poison_special_description"									"Отравляет цель на 2 секунды, каждые 0.5 секунды. Наносит <% OMNIRO_POISON_MULTIPLE_FOR_DOUBLE %>x урона, если цель стоит в луже яда от орб-эффекта."
		"omniro_poison_special_a_pretext"										"УРОН ЯДА ОТ % СИЛЫ АТАКИ: "

		"DOTA_Tooltip_modifier_omnimace_poison_debuff"						"Omni Mace: Яд"
		"DOTA_Tooltip_modifier_omnimace_poison_debuff_Description"			"Получает урон каждые 0.5 секунды."

		"omniro_time_special_description"									"Увеличивает скорость атаки и передвижения на <% OMNIRO_TIME_SPECIAL_DURATION %> секунд."
		"omniro_time_special_a_pretext"									"СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"		
		"omniro_time_special_b_pretext"									"СКОРОСТЬ АТАКИ:"		

		"DOTA_Tooltip_modifier_omnimace_time_buff"							"Omni Mace: Время"
		"DOTA_Tooltip_modifier_omnimace_time_buff_Description"				"Скорости атаки и бега увеличены."

		"omniro_holy_special_description"									"Дает иммунитет к заклинаниям на некоторое время."
		"omniro_holy_special_a_pretext"										"ДЛИТЕЛЬНОСТЬ ИММУНИТЕТА: "		

		"DOTA_Tooltip_modifier_omnimace_holy_buff"							"Omni Mace: Свет"
		"DOTA_Tooltip_modifier_omnimace_holy_buff_Description"				"Неуязвим к заклинаниям"							

		"omniro_cosmic_special_description"									"Увеличивает здоровье героя на <% OMNIRO_COSMIC_SPECIAL_DURATION %> секунд."
		"omniro_cosmic_special_a_pretext"										"БОНУС ЗДОРОВЬЯ:"	

		"DOTA_Tooltip_modifier_omnimace_cosmic_buff"						"Omni Mace: Космос"		
		"DOTA_Tooltip_modifier_omnimace_cosmic_buff_Description"			"Здоровье увеличено."								

		"omniro_ice_special_description"									"Наносит урон в <% OMNIRO_ICE_SPECIAL_RADIUS %> AOE, замедляя противников на <% OMNIRO_ICE_SPECIAL_DURATION %> секунд."
		"omniro_ice_special_a_pretext"									"ЗАМЕДЛЕНИЕ ПЕРЕМЕЩЕНИЯ:"		
		"omniro_ice_special_b_pretext"									"ЗАМЕДЛЕНИЕ АТАК:"	

		"DOTA_Tooltip_modifier_ice_debuff"								"Omni Mace: Лёд"	
		"DOTA_Tooltip_modifier_ice_debuff_Description"					"Скорость атаки и бега снижены."									

		"omniro_arcane_special_description"									"Наносит урон, затрачивая <% OMNIRO_ARCANE_MANA_DRAIN_PERCENTAGE %>% от максимальной маны героя."
		"omniro_arcane_special_a_pretext"										"МНОЖИТЕЛЬ УРОНА ОТ МАНЫ:"							

		"omniro_shadow_special_description"									"Наносит дополнительную порцию урона и деактивирует броню цели на <% OMNIRO_SHADOW_SPECIAL_DURATION %> секунд."
		"omniro_shadow_special_a_pretext"										"% МНОЖИТЕЛЬ УРОНА:"		

		"DOTA_Tooltip_modifier_omniro_shadow_debuff"					"Omni Mace: Тень"		
		"DOTA_Tooltip_modifier_omniro_shadow_debuff_Description"		"Броня игнорируется."													

		"omniro_wind_special_description"									"Увеличивает Ловкость на <% OMNIRO_WIND_SPECIAL_DURATION %> секунд."
		"omniro_wind_special_a_pretext"										"БОНУС ЛОВКОСТИ: "	

		"DOTA_Tooltip_modifier_omnimace_wind_buff"						"Omni Mace: Ветер"
		"DOTA_Tooltip_modifier_omnimace_wind_buff_Description"			"Ловкость увеличена."									

		"omniro_ghost_special_description"									"Дарует 100% уклонение на некоторое время."
		"omniro_ghost_special_a_pretext"										"ДЛИТЕЛЬНОСТЬ: "

		"DOTA_Tooltip_modifier_omnimace_ghost_buff"						"Omni Mace: Призрак"	
		"DOTA_Tooltip_modifier_omnimace_ghost_buff_Description"			"100%% Уклонение"											

		"omniro_water_special_description"									"Восстанавливает указанное количество ХП и дает дополнительную регенерацию здоровья на <% OMNIRO_WATER_SPECIAL_DURATION %> секунд."
		"omniro_water_special_a_pretext"									"ЛЕЧЕНИЕ:"		
		"omniro_water_special_b_pretext"									"БОНУС РЕГЕНЕРАЦИИ:"		

		"DOTA_Tooltip_modifier_omnimace_water_buff"							"Omni Mace: Вода"	
		"DOTA_Tooltip_modifier_omnimace_water_buff_Description"				"Регенерация здоровья увеличена."							

		"omniro_demon_special_description"									"Увеличивает бонусный урон атаки на <% OMNIRO_DEMON_SPECIAL_DURATION %> секунд."
		"omniro_demon_special_a_pretext"										"% БОНУСНЫЙ УРОН АТАКИ: "		

		"DOTA_Tooltip_modifier_omnimace_demon_buff"							"Omni Mace: Демон"	
		"DOTA_Tooltip_modifier_omnimace_demon_buff_Description"				"Урон атаки увеличен."								

		"omniro_nature_special_description"									"Цель опутана корнями и получает урон каждую секунду."
		"omniro_nature_special_a_pretext"									"ДЛИТЕЛЬНОСТЬ ОПУТЫВАНИЯ:"		
		"omniro_nature_special_b_pretext"									"УРОН ЗА СЕКУНДУ, % ОТ СИЛЫ АТАКИ:"		

		"DOTA_Tooltip_modifier_omnimace_nature_debuff"						"Omni Mace: Природа"
		"DOTA_Tooltip_modifier_omnimace_nature_debuff_Description"			"Опутан корнями и получает ежесекундный урон."		

		"omniro_undead_special_description"									"Отключает регенерацию здоровья цели. На <% OMNIRO_UNDEAD_SPECIAL_DURATION %> секунд увеличивает пост-резистный урон."
		"omniro_undead_special_a_pretext"									"ДЛИТЕЛЬНОСТЬ ОТКЛЮЧЕНИЯ РЕГЕНЕРАЦИИ:"		
		"omniro_undead_special_b_pretext"									"БОНУС ПОСТ-РЕЗИСТНОГО УРОНА %:"	

		"omniro_dragon_special_description"									"Увеличивает урон всех элементов на <% OMNIRO_DRAGON_SPECIAL_DURATION %> секунд."
		"omniro_dragon_special_a_pretext"									"УРОН ЭЛЕМЕНТОВ:"		

		"DOTA_Tooltip_modifier_omniro_dragon_buff"							"Omni Mace: Дракон"
		"DOTA_Tooltip_modifier_omniro_dragon_buff_Description"				"Урон элементов увеличен"

		"DOTA_Tooltip_modifier_omnimace_undead_debuff"						"Omni Mace: Нежить"	
		"DOTA_Tooltip_modifier_omnimace_undead_debuff_Description"			"Регенерация отключена"

		"DOTA_Tooltip_modifier_omnimace_undead_buff"						"Omni Mace: Undead"	
		"DOTA_Tooltip_modifier_omnimace_undead_buff_Description"			"Пост-резистный урон увеличен."

		"omniro_orb_effect_title"											"Орб-эффект"

		"omniro_normal_orb_description"										"Наносит урон в большой области, основанный на силе атаки."
		"omniro_normal_orb_a_pretext"										"МНОЖИТЕЛЬ СИЛЫ АТАКИ:"

		"omniro_fire_orb_description"										"Огненный взрыв наносит урон в области <% OMNIRO_ORB_FIRE_AOE %>."
		"omniro_fire_orb_a_pretext"											"УРОН ОТ % СИЛЫ АТАКИ:"	

		"omniro_earth_orb_description"										"Расщепляет землю и наносит урон в области <% OMNIRO_ORB_EARTH_AOE %>."
		"omniro_earth_orb_a_pretext"										"УРОН x ПОКАЗАТЕЛЬ СИЛЫ:"				
		"omniro_earth_orb_b_pretext"										"ДЛИТЕЛЬНОСТЬ СТАНА:"			

		"omniro_lightning_orb_description"										"Пораженная цель генерирует цепную молнию на <% OMNIRO_ORB_LIGHTNING_BASE_BOUNCES %> целей. Дополнительные цели добавляются в зависимости от максимального количества зарядов Молнии."
		"omniro_lightning_orb_a_pretext"										"УРОН x ПОКАЗАТЕЛЬ ЛОВКОСТИ:"			

		"omniro_poison_orb_description"										"Создает лужу яда радиусом <% OMNIRO_ORB_POISON_POOL_RADIUS %>, длительностью <% OMNIRO_ORB_POISON_POOL_DURATION %> секунд. Противники внутри получают урон каждые 0.5 секунды."
		"omniro_poison_orb_a_pretext"											"УРОН В % ОТ СИЛЫ АТАКИ:"	

		"DOTA_Tooltip_modifier_omniro_poison_pool_enemy"					"Omni Orb: Яд"
		"DOTA_Tooltip_modifier_omniro_poison_pool_enemy_Description"		"Получает урон каждые 0.5 секунды"

		"omniro_time_orb_description"									"Все противники в радиусе <% OMNIRO_ORB_TIME_AOE %> от цели замораживаются. После разморозки они получают урон."
		"omniro_time_orb_a_pretext"										"УРОН В % ОТ СИЛЫ АТАКИ:"				
		"omniro_time_orb_b_pretext"										"ДЛИТЕЛЬНОСТЬ ЗАМОРОЗКИ:"

		"DOTA_Tooltip_modifier_omniro_time_freeze"						"Omni Orb: Время"
		"DOTA_Tooltip_modifier_omniro_time_freeze_Description"			"Заморожен во времени, получит урон после разморозки."

		"omniro_holy_orb_description"									"Все противники в радиусе <% OMNIRO_ORB_HOLY_AOE %> получат урон (множитель от Интеллекта и брони). Герой и союзники будут исцелены на <% OMNIRO_ORB_HOLY_HEAL_PCT %>% от урона."
		"omniro_holy_orb_a_pretext"										"УРОН x ИНТЕЛЛЕКТ:"				
		"omniro_holy_orb_b_pretext"										"УРОН x БРОНЯ:"

		"omniro_cosmic_orb_description"									"Падающая звезда наносит урон в радиусе <% OMNIRO_ORB_COSMIC_RADIUS %> через 0.45 секунды. Урон базируется на силе атаки и максимальном здоровье.Damage is based on attack power and current health."
		"omniro_cosmic_orb_a_pretext"										"УРОН % ОТ СИЛЫ АТАКИ:"				
		"omniro_cosmic_orb_b_pretext"										"УРОН x МАКС ЗДОРОВЬЕ:"

		"omniro_ice_orb_description"									"Creates a larger ice blast with a base radius of <% OMNIRO_ICE_ORB_BASE_RADIUS %> and applies basic ice mace's slow. Damage is based on all attributes, and the lowest attribute is multiplied by <% OMNIRO_ICE_LOWEST_ATTRIBUTE_MULT %>x."
		"omniro_ice_orb_a_pretext"										"УРОН x ALL ATTRIBUTES:"				
		"omniro_ice_orb_b_pretext"										"ADDITIONAL RADIUS:"

		"omniro_arcane_orb_description"										"Enemies in <% OMNIRO_ARCANE_BASE_AOE %> AOE are hit by <% OMNIRO_ARCANE_ORB_BASE_PULSES %> pulses of the basic proc and lose magic resist for <% OMNIRO_ARCANE_ORB_MR_LOSS_DURATION %> seconds. Pulse count is increased by Arcane's maximum charges."
		"omniro_arcane_orb_a_pretext"										"ADDITIONAL RADIUS:"				
		"omniro_arcane_orb_b_pretext"										"MAGIC RESIST LOSS:"

		"DOTA_Tooltip_modifier_arcane_orb_magic_resist"					"Omni Orb: Arcane"
		"DOTA_Tooltip_modifier_arcane_orb_magic_resist_Description"		"Reduced Magic Resistance"

		"omniro_shadow_orb_description"									"Creates a splash of shadow in <% OMNIRO_SHADOW_ORB_BASE_AOE %> and applies the armor disabling debuff. Deals damage based on attack power."
		"omniro_shadow_orb_a_pretext"										"УРОН x ATTACK:"				
		"omniro_shadow_orb_b_pretext"										"ADDITIONAL RADIUS:"

		"omniro_wind_orb_description"									"A burst of wind radiates from the target, dealing damage based on attack power and agility and pushing them away."
		"omniro_wind_orb_a_pretext"										"DAMAGE x ATTACK:"				
		"omniro_wind_orb_b_pretext"										"DAMAGE x AGILITY:"

		"omniro_ghost_orb_description"										"Creates a ghastly <% OMNIRO_GHOST_ORB_AOE %> radius shroud that disarms enemies within and deals damage each second. Base duration is <% OMNIRO_GHOST_ORB_AOE %> second."
		"omniro_ghost_orb_a_pretext"											"DAMAGE AS % OF ATTACK POWER:"	
		"omniro_ghost_orb_b_pretext"											"ADDITIONAL CLOUD DURATION:"

		"DOTA_Tooltip_modifier_ghost_orb_effect"						"Omni Orb: Ghost"
		"DOTA_Tooltip_modifier_ghost_orb_effect_Description"			"Disarmed"

		"omniro_water_orb_description"										"A torrent of water knocks up enemies in a <% OMNIRO_WATER_ORB_AOE %> radius. While they are launcing into the air, enemies are stunned."
		"omniro_water_orb_a_pretext"											"DAMAGE AS % OF ATTACK POWER:"	

		"omniro_demon_orb_description"										"Deals a large instance of damage that ignores Steadfast."
		"omniro_demon_orb_a_pretext"											"DAMAGE AS % OF ATTACK POWER:"	

		"omniro_nature_orb_description"										"Applies a shield that absorbs instances of damage. Base maximum stacks is <% OMNIRO_NATURE_SHIELD_BASE_MAX_STACKS %> and scales with levels. Lasts <% OMNIRO_NATURE_SHIELD_DURATION %> seconds."
		"omniro_nature_orb_a_pretext"											"CHANCE TO ADD SHIELD STACK %:"	
		"omniro_nature_orb_b_pretext"											"ADDITIONAL MAX SHIELD STACKS:"

		"DOTA_Tooltip_modifier_omniro_nature_shield"						"Omni Orb: Nature"
		"DOTA_Tooltip_modifier_omniro_nature_shield_Description"			"Absorbing damage"

		"omniro_undead_orb_description"										"Throws a skull behind the target that damages everything in its path and applies the debuff that makes them unable to heal."
		"omniro_undead_orb_a_pretext"											"DAMAGE % ATTACK POWER:"	
		"omniro_undead_orb_b_pretext"											"DAMAGE x CURRENT HEALTH:"

		"omniro_dragon_orb_description"										"Recharges all other elements to full."

		"DOTA_Tooltip_ability_omniro_omni_orb"								"Omni Orb"
		"DOTA_Tooltip_ability_omniro_omni_orb_Description"					"While toggled on, triggers an additional effect on cast based on the currently active element. The effect only triggers if the element has active charges. Charges are displayed on Omniro's elements panel. Max Charges can be increased by leveling up the elements through runes. Base recharge time is 10 seconds per charge. Each element's Orb Effect can be seen by hovering over an element on Omniro's elements panel."	

		"DOTA_Tooltip_ability_omniro_chrono_path"								"Chrono Path"
		"DOTA_Tooltip_ability_omniro_chrono_path_Description"					"Pockets of warped spacetime line up in a row in from of Omniro. While omniro is standing in the fields, he has en enforced minimum movespeed, free pathing and cannot be attacked."
		"DOTA_Tooltip_ability_omniro_chrono_path_min_movespeed"						"MINIMUM MOVESPEED:"
		"DOTA_Tooltip_ability_omniro_chrono_path_duration"						"DURATION:"

		"DOTA_Tooltip_modifier_omniro_in_chrono_path"							"Chrono Path"
		"DOTA_Tooltip_modifier_omniro_in_chrono_path_Description"				"Can't be attacked and Free Pathing"

		"DOTA_Tooltip_ability_omniro_dimension_stalker"								"Dimension Stalker"
		"DOTA_Tooltip_ability_omniro_dimension_stalker_Description"					"After a 1.8 second target acquisition period, Omniro triggers a series of attacks on random enemies in the ability's radius. While channeling, Omniro is immune to magic."
		"DOTA_Tooltip_ability_omniro_dimension_stalker_radius"						"RADIUS:"
		"DOTA_Tooltip_ability_omniro_dimension_stalker_max_targets"					"MAX TARGETS:"

    	"DOTA_Tooltip_ability_omniro_rune_q_1"							"[Q1] Omniro Fire"
    	"DOTA_Tooltip_ability_omniro_rune_q_1_Description"				"Увеличивает уровень элемента <font color=\"#EF4126\">Fire</font> , который усиливает эффекты Omni Mace и Omni Orb. Наведите на элемент в панели элементов для подробной информации. Максимум зарядов увеличивается за каждое целое значение в поле 'Увеличение Максимума Зарядов' этой руны."
    	"DOTA_Tooltip_ability_omniro_rune_q_1_property_one"				"Уровень Элемента
    	"DOTA_Tooltip_ability_omniro_rune_q_1_suffix"					""
    	"DOTA_Tooltip_ability_omniro_rune_q_1_property_two"				"Увеличение Максимума Зарядов"
    	"DOTA_Tooltip_ability_omniro_rune_q_1_suffix_two"				""

    	"DOTA_Tooltip_ability_omniro_rune_w_1"							"[W1] Omniro Earth"
    	"DOTA_Tooltip_ability_omniro_rune_w_1_Description"				"Увеличивает уровень элемента <font color=\"#AF843D\">Earth</font> , который усиливает эффекты Omni Mace и Omni Orb. Наведите на элемент в панели элементов для подробной информации. Максимум зарядов увеличивается за каждое целое значение в поле 'Увеличение Максимума Зарядов' этой руны."
