    	//Abilities
		
    	"DOTA_Tooltip_ability_seinaru_rune_q_1"							"[Q1] Cloudburst"
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_Description"				"С каждым задетым умением @Ability1 врагом, урон героя и его скорость атаки увеличиваются на <% SEINARU_Q1_DUR_BASE %> секунд."
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_property_one"			"Доп. урон"
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_suffix"					"%"
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_property_two"			"Доп. скорость атаки"
    	"DOTA_Tooltip_ability_seinaru_rune_q_1_suffix_two"				""

    	"DOTA_Tooltip_modifier_seinaru_rune_q_1"						"Cloudburst"
    	"DOTA_Tooltip_modifier_seinaru_rune_q_1_Description"			"Урон и скорость атаки увеличены"
		
    	"DOTA_Tooltip_ability_seinaru_rune_q_2"							"[Q2] Gale Break"
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_Description"				"Прочтение (Q) Konokaze увеличивает скорость передвижения на <% SEINARU_Q2_DUR_BASE %> секунд, дополнительно замедляет задетых врагов."
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_property_one"			"Доп. скорость передвижения"
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_suffix"					""
     	"DOTA_Tooltip_ability_seinaru_rune_q_2_property_two"			"Замедление"
    	"DOTA_Tooltip_ability_seinaru_rune_q_2_suffix_two"				""

    	"DOTA_Tooltip_modifier_seinaru_q_2_speed"						"Gale Break"
    	"DOTA_Tooltip_modifier_seinaru_q_2_speed_Description"			"Скорость передвижения увеличена"	

    	"DOTA_Tooltip_modifier_seinaru_rune_q_2_slow"					"Gale Break"
    	"DOTA_Tooltip_modifier_seinaru_rune_q_2_slow_Description"		"Замедлен"
		
    	"DOTA_Tooltip_ability_seinaru_rune_q_3"							"[Q3] Heavy Winds"
    	"DOTA_Tooltip_ability_seinaru_rune_q_3_Description"				"После прочтения @Ability1 герой получает <% SEINARU_Q3_EVA_BASE %>% бонус к уклонению. Добавляет % от Ловкости к урону основного умения."
    	"DOTA_Tooltip_ability_seinaru_rune_q_3_property_one"			"Длительность уклонения"
    	"DOTA_Tooltip_ability_seinaru_rune_q_3_suffix"					" сек."
    	"DOTA_Tooltip_ability_seinaru_rune_q_3_property_two"			"Усиление урона"
    	"DOTA_Tooltip_ability_seinaru_rune_q_3_suffix_two"				"% от значения Ловкости"

    	"DOTA_Tooltip_ability_seinaru_rune_q_3_evasion"					"Heavy Winds"
    	"DOTA_Tooltip_ability_seinaru_rune_q_3_evasion_Description"		"90%% уклонение"
		
    	"DOTA_Tooltip_ability_seinaru_rune_q_4"							"[Q4] Precision Breeze"
    	"DOTA_Tooltip_ability_seinaru_rune_q_4_Description"				"Определенный процент от урона Seinaru будет добавлен к урону умения @Ability1."
    	"DOTA_Tooltip_ability_seinaru_rune_q_4_property_one"			"Доп. урон умения"
    	"DOTA_Tooltip_ability_seinaru_rune_q_4_suffix"					"% от урона героя"
		
    	"Tooltip_seinaru_w"											"Hands of Hikari"

		"DOTA_Tooltip_ability_seinaru_rune_w_1"							"[W1] Circle of Wind"
		"DOTA_Tooltip_ability_seinaru_rune_w_1_Description"				"@Ability2 высвобождают поток светлой энергии замедляя скорость передвижения и атаки врагов на <% SEINARU_W1_MOV_SLOW_BASE %> на <% SEINARU_W1_DUR_BASE %> секунды. Дополнительно увеличивает наносимый героем пост-резистный урон по задетым врагам. Эффект складывается неограниченное количество раз."
		"DOTA_Tooltip_ability_seinaru_rune_w_1_property_one"			"Доп. пост-резистный урон"
		"DOTA_Tooltip_ability_seinaru_rune_w_1_suffix"					"%"
		
		"DOTA_Tooltip_ability_seinaru_rune_w_2"							"[W2] Typhoon"
		"DOTA_Tooltip_ability_seinaru_rune_w_2_Description"				"При прочтении @Ability2 образуется стремительный тайфун, нанесет противникам магический урон в радиусе <% SEINARU_W2_RADIUS_BASE %>. Базовый урон руны умножается на текущий уровень прокачки @Ability2."
		"DOTA_Tooltip_ability_seinaru_rune_w_2_property_one"			"Урон"
		"DOTA_Tooltip_ability_seinaru_rune_w_2_suffix"					""
		"DOTA_Tooltip_ability_seinaru_rune_w_2_property_two"			"Длительность оглушения"
		"DOTA_Tooltip_ability_seinaru_rune_w_2_suffix_two"				" сек."

		"DOTA_Tooltip_ability_seinaru_rune_w_3"						"[W3] Four Winds"
		"DOTA_Tooltip_ability_seinaru_rune_w_3_Description"			"После прочтения @Ability2, Seinaru и все союзные герои укрываются временным щитом, действующим 3 секунды. Поглощаемое щитом количество урона основывается на значении Ловкости Seinaru."
		"DOTA_Tooltip_ability_seinaru_rune_w_3_property_one"			"Прочность щита"
		"DOTA_Tooltip_ability_seinaru_rune_w_3_suffix"					"х от Ловкости"

		"DOTA_Tooltip_modifier_seinaru_rune_w_3_shield"				"Four Winds"
		"DOTA_Tooltip_modifier_seinaru_rune_w_3_shield_Description"	"Укрыт щитом, поглощающим урон"

    	"DOTA_Tooltip_ability_seinaru_rune_w_4"							"[W4] Light of Wisdom"
    	"DOTA_Tooltip_ability_seinaru_rune_w_4_Description"				"Показатель Ловкости Seinaru увеличивает эффект исцеления от @Ability2 и урон стихии <font color=\"#7AE2A7\">Ветра</font>."
    	"DOTA_Tooltip_ability_seinaru_rune_w_4_property_one"			"Усиление урона и исцеления на "
    	"DOTA_Tooltip_ability_seinaru_rune_w_4_suffix"					"% за каждые 10 очков Ловкости"

    	"DOTA_Tooltip_ability_seinaru_rune_e_1"						"[E1] Eagle Strike"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_Description"			"Враги, задетые умением (E) Odachi Leap получат метку руны [E1]. По приземлении, герой обрушит на отмеченных врагов серию сокрушающих ударов."
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_property_one"			"Доп. урон"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_suffix"					"%"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_property_two"			"Макс. целей"
    	"DOTA_Tooltip_ability_seinaru_rune_e_1_suffix_two"				""
		
    	"DOTA_Tooltip_ability_seinaru_rune_e_2"						"[E2] Wakizashi"
