		"DOTA_Tooltip_ability_epoch_time_binder"								"Time Binder"
		"DOTA_Tooltip_ability_epoch_time_binder_Description"					"Элемент: <font color=\"#B5FFB7\">Время</font><br>Запускает снаряд в указанную сторону. При попадании или по достижении максимального расстояния снаряд взорвется, нанося АОЕ урон в небольшом радиусе.<br> Если снаряд попадает по противнику, он связывает его и его союзников поблизости, но связь не образуется, если противники уже связаны. Цели в одной связке получают урон ежесекундно, в зависимости от урона снаряда, при этом Скорость Перемещения их замедляется. Урон и мощность замедления увеличиваются тем сильнее, чем больше целей связано. Если одна из целей умирает, связи перераспределяются между оставшимися юнитами в связке."
		"DOTA_Tooltip_ability_epoch_time_binder_Lore"							""
		"DOTA_Tooltip_ability_epoch_time_binder_max_links"				"МАКСИМУМ СВЯЗЕЙ:"
		"DOTA_Tooltip_ability_epoch_time_binder_link_search_range"					"ДАЛЬНОСТЬ ПОИСКА ДОПОЛНИТЕЛЬНЫХ ЦЕЛЕЙ:"
		"DOTA_Tooltip_ability_epoch_time_binder_link_duration"			"ДЛИТЕЛЬНОСТЬ СВЯЗЕЙ:"
        "DOTA_Tooltip_ability_epoch_time_binder_ms_slow_base"          "БАЗОВОЕ ЗАМЕДЛЕНИЕ:"
        "DOTA_Tooltip_ability_epoch_time_binder_ms_slow_per_stack"          "ДОПОЛНИТЕЛЬНОЕ ЗАМЕДЛЕНИЕ ЗА ЮНИТА:"
        "DOTA_Tooltip_ability_epoch_time_binder_impact_radius"          "РАДИУС АОЕ СНАРЯДА:"
        "DOTA_Tooltip_ability_epoch_time_binder_impact_damage_base"          "БАЗОВЫЙ УРОН СНАРЯДА:"
        "DOTA_Tooltip_ability_epoch_time_binder_impact_damage_int_mult"          "ДОПОЛНИТЕЛЬНЫЙ УРОН ЗА ЕДИНИЦУ ИНТЕЛЛЕКТА ГЕРОЯ:"
        "DOTA_Tooltip_ability_epoch_time_binder_dot_damage_pct_impact"          "% ПЕРИОДИЧЕСКИЙ УРОН В % ОТ УРОНА СНАРЯДА, УМНОЖЕННЫЙ НА КОЛИЧЕСТВО СВЯЗЕЙ:"

		"DOTA_Tooltip_modifier_epoch_time_bind" 										"Time Bind"
		"DOTA_Tooltip_modifier_epoch_time_bind_description" 							"Связан с указанным количеством союзников Time Binder."
		
    	"DOTA_Tooltip_ability_epoch_rune_q_1"									"[Q1] Aeon Strike"
    	"DOTA_Tooltip_ability_epoch_rune_q_1_Description"						"Атаки тратят <% EPOCH_Q1_MANA_DRAIN_PCT %>% от максимального запаса Маны и наносят дополнительный урон в зависимости от затраченной Маны. Aeon Strike заменяет Физический урон от атак героя."
    	"DOTA_Tooltip_ability_epoch_rune_q_1_property_one"						"Дополнительный Урон"
    	"DOTA_Tooltip_ability_epoch_rune_q_1_suffix"							"% от затраченной Маны"


    	"DOTA_Tooltip_ability_epoch_rune_q_2"									"[Q2] Ages of Wisdom"
    	"DOTA_Tooltip_ability_epoch_rune_q_2_Description"						"Увеличивает Интеллект героя на %."
    	"DOTA_Tooltip_ability_epoch_rune_q_2_property_one"						"Увеличение Интеллекта"
    	"DOTA_Tooltip_ability_epoch_rune_q_2_suffix"							"%"
		
    	"DOTA_Tooltip_ability_epoch_rune_q_3"									"[Q3] Eon Phantoms"
    	"DOTA_Tooltip_ability_epoch_rune_q_3_Description"						"При образовании связей Time Binder с определенным шансом появится Фантом, добавляющий дополнительную связь с противниками."
    	"DOTA_Tooltip_ability_epoch_rune_q_3_property_one"						"Шанс появления Фантома"
    	"DOTA_Tooltip_ability_epoch_rune_q_3_suffix"							"%"
		
    	"DOTA_Tooltip_ability_epoch_rune_q_4"									"[Q4] Overtime"
    	"DOTA_Tooltip_ability_epoch_rune_q_4_Description"						"Увеличивает скорость полета снаряда способности Time Binder и снижает перезарядку."
    	"DOTA_Tooltip_ability_epoch_rune_q_4_property_one"						"Скорость снаряда"
    	"DOTA_Tooltip_ability_epoch_rune_q_4_suffix"							"%"
    	"DOTA_Tooltip_ability_epoch_rune_q_4_property_two"						"Снижение Перезарядки"
    	"DOTA_Tooltip_ability_epoch_rune_q_4_suffix_two"						"%"

        "DOTA_Tooltip_ability_epoch_genesis_orb"                         "Genesis Orb"
        "DOTA_Tooltip_ability_epoch_genesis_orb_Description"             "Элемент: <font color=\"#B5FFB7\">Время</font><br>Выпускает сферу времени в выбранного противника, если противник связан [Q], то сфера перескочит на остальных связанных с ним юнитов."
        "DOTA_Tooltip_ability_epoch_genesis_orb_damage"                  "БАЗОВЫЙ УРОН:"
        "DOTA_Tooltip_ability_epoch_genesis_orb_range"                   "ДИСТАНЦИЯ:"
        "DOTA_Tooltip_ability_epoch_genesis_orb_max_bounces"             "МАКСИМУМ ОТСКОКОВ:"

        "DOTA_Tooltip_ability_epoch_rune_w_1"                           "[W1] Time Lapse"
        "DOTA_Tooltip_ability_epoch_rune_w_1_Description"               "Нанесение урона по противнику @Ability2 восстанавливает Ману героя."
        "DOTA_Tooltip_ability_epoch_rune_w_1_property_one"              "Восстановление Маны"
        "DOTA_Tooltip_ability_epoch_rune_w_1_suffix"                    ""

        "DOTA_Tooltip_ability_epoch_rune_w_2"                           "[W2] Origination"
        "DOTA_Tooltip_ability_epoch_rune_w_2_Description"               "Сила Атаки увеличивает Базовый Урон способности @Ability2."
        "DOTA_Tooltip_ability_epoch_rune_w_2_property_one"              "Урон способности увеличен"
        "DOTA_Tooltip_ability_epoch_rune_w_2_suffix"                    "% от Силы Атаки"

        "DOTA_Tooltip_ability_epoch_rune_w_3"                           "[W3] Foresight"
        "DOTA_Tooltip_ability_epoch_rune_w_3_Description"               "Каждый раз, когда @Ability2 попадает по противнику, герой получает бонусный заряд Интеллекта, максимально <% EPOCH_W3_MAX_STACKS %> зарядов. Атаки поглощают заряды в обмен на восстановление здоровья."
        "DOTA_Tooltip_ability_epoch_rune_w_3_property_one"              "Интеллект за заряд"
        "DOTA_Tooltip_ability_epoch_rune_w_3_suffix"                    ""
        "DOTA_Tooltip_ability_epoch_rune_w_3_property_two"              "Восстановление Здоровья за заряд"
        "DOTA_Tooltip_ability_epoch_rune_w_3_suffix_two"                ""

        "DOTA_Tooltip_modifier_epoch_w_3_int"                           "Foresight"
        "DOTA_Tooltip_modifier_epoch_w_3_int_Description"               "Интеллект увеличен. Атаки поглощают заряды в обмен на восстановление здоровья."  
        
        "DOTA_Tooltip_ability_epoch_rune_w_4"                           "[W4] Genesis"
        "DOTA_Tooltip_ability_epoch_rune_w_4_Description"               "Увеличивает Базовый Урон Способности и стоимость Маны у @Ability2"
        "DOTA_Tooltip_ability_epoch_rune_w_4_property_one"              "Базовый Урон Способности [W]"
        "DOTA_Tooltip_ability_epoch_rune_w_4_suffix"                    "%"
        "DOTA_Tooltip_ability_epoch_rune_w_4_property_two"              "Повышение стоимости маны [W]"
        "DOTA_Tooltip_ability_epoch_rune_w_4_suffix_two"                 "%"
		
		"DOTA_Tooltip_ability_epoch_distortion_orb"										"Distortion Orb"
		"DOTA_Tooltip_ability_epoch_distortion_orb_Description"							"Элемент: <font color=\"#B5FFB7\">Время</font><br>Выпускает вперед сферу искаженного пространства, при повторном прочтении перемещает героя на место сферы."
		"DOTA_Tooltip_ability_epoch_distortion_orb_Lore"									""
    	"DOTA_Tooltip_ability_epoch_distortion_orb_range"									"ДАЛЬНОСТЬ:"
    	"DOTA_Tooltip_ability_epoch_distortion_orb_speed"									"СКОРОСТЬ СФЕРЫ:"
    	"DOTA_Tooltip_ability_epoch_distortion_orb_damage"								"УРОН:"

		"DOTA_Tooltip_modifier_time_warp" 										"Active Distortion"
		"DOTA_Tooltip_modifier_time_warp_description" 							"Активация перенесет героя на место сферы от Distortion Orb."

    	"DOTA_Tooltip_ability_epoch_rune_e_1"							"[E1] Junction"
    	"DOTA_Tooltip_ability_epoch_rune_e_1_Description"				"Все Атрибуты героя увеличивают Броню и Магическую Защиту."
    	"DOTA_Tooltip_ability_epoch_rune_e_1_property_one"				"Броня"
    	"DOTA_Tooltip_ability_epoch_rune_e_1_suffix"					" за Атрибут"
        "DOTA_Tooltip_ability_epoch_rune_e_1_property_two"              "Магическая Защита"
        "DOTA_Tooltip_ability_epoch_rune_e_1_suffix_two"                " за Атрибут"

    	"DOTA_Tooltip_ability_epoch_rune_e_2"							"[E2] Orb Rush"
    	"DOTA_Tooltip_ability_epoch_rune_e_2_Description"				"Увеличивает скорость и дальность полета сферы @Ability3."
    	"DOTA_Tooltip_ability_epoch_rune_e_2_property_one"				"Дальность полета"
    	"DOTA_Tooltip_ability_epoch_rune_e_2_suffix"					""
    	"DOTA_Tooltip_ability_epoch_rune_e_2_property_two"				"Скорость"
    	"DOTA_Tooltip_ability_epoch_rune_e_2_suffix_two"				""
		
    	"DOTA_Tooltip_ability_epoch_rune_e_3"							"[E3] Lifetream"
    	"DOTA_Tooltip_ability_epoch_rune_e_3_Description"				"Увеличивает Ману и Здоровье."
    	"DOTA_Tooltip_ability_epoch_rune_e_3_property_one"				"Максимальное Здоровье"
    	"DOTA_Tooltip_ability_epoch_rune_e_3_suffix"					""
        "DOTA_Tooltip_ability_epoch_rune_e_3_property_two"              "Максимальная Мана"
        "DOTA_Tooltip_ability_epoch_rune_e_3_suffix_two"                ""
		
    	"DOTA_Tooltip_ability_epoch_rune_e_4"							"[E4] Distortion Rift"
    	"DOTA_Tooltip_ability_epoch_rune_e_4_Description"				"Прочтение @Ability3 также выпускает Разломы в виде конуса перед героем, максимально <% EPOCH_E4_ORBS_MAX %> разломов."
    	"DOTA_Tooltip_ability_epoch_rune_e_4_property_one"				"Урон Разлома"
    	"DOTA_Tooltip_ability_epoch_rune_e_4_suffix"					"% от Силы Атаки"
        "DOTA_Tooltip_ability_epoch_rune_e_4_property_two"              "Количество Разломов"
        "DOTA_Tooltip_ability_epoch_rune_e_4_suffix_two"                ""
		
		"DOTA_Tooltip_ability_epoch_eternity_flood"									"Eternity Flood"
		"DOTA_Tooltip_ability_epoch_eternity_flood_Description"						"Элемент: <font color=\"#B5FFB7\">Время</font>/<font color=\"#C25DFC\">Космос</font><br>Создает карманную Вселенную в выбранной области, пока заклинание заряжается, засасывает в себя противников и замораживает их во времени. После удачного прочтения Вселенная коллапсирует, нанося урон и отбрасывая всю поглощенную материю назад, также замораживая выброшенных противников."
		"DOTA_Tooltip_ability_epoch_eternity_flood_Lore"								""
		"DOTA_Tooltip_ability_epoch_eternity_flood_damage"							"БАЗОВЫЙ УРОН:"
    	"DOTA_Tooltip_ability_epoch_eternity_flood_damage_sum_attrs"				"УРОН ОТ СУММЫ АТРИБУТОВ ГЕРОЯ:"
    	"DOTA_Tooltip_ability_epoch_eternity_flood_freeze_duration"						"ДЛИТЕЛЬНОСТЬ ЗАМОРОЗКИ:"
    	"DOTA_Tooltip_ability_epoch_eternity_flood_radius"							"РАДИУС:"

		"DOTA_Tooltip_modifier_epoch_r_freeze"							"Time Lock"
		"DOTA_Tooltip_modifier_epoch_r_freeze_description" 				"Заморожен во времени."

        "DOTA_Tooltip_modifier_epoch_r_vacuum"                          "Eternity Flood"
        "DOTA_Tooltip_modifier_epoch_r_vacuum_description"              "Затянут в гравитационную ловушку."

    	"DOTA_Tooltip_ability_epoch_rune_r_1"							"[R1] Tides of Time"
    	"DOTA_Tooltip_ability_epoch_rune_r_1_Description"				"Увеличивает Бонусный Урон Атаки в зависимости от % текущей Маны героя."
    	"DOTA_Tooltip_ability_epoch_rune_r_1_property_one"				"Бонусный Урон Атаки %"
    	"DOTA_Tooltip_ability_epoch_rune_r_1_suffix"					" за каждый 1% текущей Маны"

    	"DOTA_Tooltip_ability_epoch_rune_r_2"							"[R2] Guardian of Ages"
    	"DOTA_Tooltip_ability_epoch_rune_r_2_Description"				"Пассивно увеличивает скорость атаки и дальность атаки героя."
    	"DOTA_Tooltip_ability_epoch_rune_r_2_property_one"				"Дальность Атаки"
    	"DOTA_Tooltip_ability_epoch_rune_r_2_suffix"					""
    	"DOTA_Tooltip_ability_epoch_rune_r_2_property_two"				"Скорость Атаки"
    	"DOTA_Tooltip_ability_epoch_rune_r_2_suffix_two"				""

    	"DOTA_Tooltip_ability_epoch_rune_r_3"							"[R3] Time Crackle"
    	"DOTA_Tooltip_ability_epoch_rune_r_3_Description"				"Урон Атаки героя увеличивает урон @Ability4. Противники, замороженные во времени также расщепляются каждые 0.33 секунды и получают урон."
    	"DOTA_Tooltip_ability_epoch_rune_r_3_property_one"				"Дополнительный Урон"
    	"DOTA_Tooltip_ability_epoch_rune_r_3_suffix"					"% от Силы Атаки"
        "DOTA_Tooltip_ability_epoch_rune_r_3_property_two"              "Урон Расщепления"
        "DOTA_Tooltip_ability_epoch_rune_r_3_suffix_two"                "% от базового урона способности"

    	"DOTA_Tooltip_ability_epoch_rune_r_4"							"[R4] Boundless Generation"
    	"DOTA_Tooltip_ability_epoch_rune_r_4_Description"				"Увеличивает весь урон <font color=\"#B5FFB7\">Времени</font>."
    	"DOTA_Tooltip_ability_epoch_rune_r_4_property_one"				"Урон Элемента"
    	"DOTA_Tooltip_ability_epoch_rune_r_4_suffix"					"%"

		//Arcanas
		
    	"item_property_epoch_arcana1"										"Temporal Grip"
    	"property_epoch_arcana1_description"								"Заменяет @Ability1 и все соответствующие руны на Temporal Grip."

    	"DOTA_Tooltip_ability_epoch_temporal_grip"							"Temporal Grip"
    	"DOTA_Tooltip_ability_epoch_temporal_grip_Description"				"Элемент: <font color=\"#B5FFB7\">Время</font><br>Epoch Guardian обездвиживает всех противников в зоне действия и наносит им мгновенный урон, основанный на Силе Атаки героя. Противники, уже обездвиженные этой способностью, не будут повторно обездвижены при попытке продлить длительность дебаффа."	
    	"DOTA_Tooltip_ability_epoch_temporal_grip_root_duration"			"ДЛИТЕЛЬНОСТЬ ОБЕЗДВИЖИВАНИЯ:"
        "DOTA_Tooltip_ability_epoch_temporal_grip_dmg_atk_power"            "% УРОН % ОТ СИЛЫ АТАКИ:"

    	"DOTA_Tooltip_modifier_epoch_arcana_root"							"Temporal Grip"
    	"DOTA_Tooltip_modifier_epoch_arcana_root_Description"				"Обездвижен"	

        "DOTA_Tooltip_ability_epoch_rune_q_1_arcana1"                       "[Q1] Aeon Blast"
        "DOTA_Tooltip_ability_epoch_rune_q_1_arcana1_Description"           "Атаки тратят <% EPOCH_Q1_MANA_DRAIN_PCT %>% от максимального запаса Маны и наносят дополнительный урон в зависимости от затраченной Маны. Aeon Blast заменяет Физический урон от атак героя."
        "DOTA_Tooltip_ability_epoch_rune_q_1_arcana1_property_one"          "Дополнительный Урон"
