		//Abilities
		"DOTA_Tooltip_ability_overcharge"								"Overcharge"
		"DOTA_Tooltip_ability_overcharge_Description"					"Element: <font color=\"#5CCDF9\">Lightning</font><br>Greatly increases attack speed and provides a forked lightning effect upon striking enemy units."
		"DOTA_Tooltip_ability_overcharge_Lore"						""
		"DOTA_Tooltip_ability_overcharge_attack_speed"				"ATTACK SPEED BONUS:"
		"DOTA_Tooltip_ability_overcharge_proc_targets"				"MAX TARGETS:"
    	"DOTA_Tooltip_ability_overcharge_proc_damage"					"ELECTRICITY DAMAGE:"
    	"DOTA_Tooltip_ability_overcharge_duration"					"DURATION:"
		
		"DOTA_Tooltip_ability_voltex_rune_q_1"								"[Q1] Magnetic Block"
    	"DOTA_Tooltip_ability_voltex_rune_q_1_Description"					"While Overcharged - Voltex has increased Armor."
    	"DOTA_Tooltip_ability_voltex_rune_q_1_property_one"					"Armor Bonus"
    	"DOTA_Tooltip_ability_voltex_rune_q_1_suffix"						""

		"DOTA_Tooltip_modifier_voltex_rune_q_1_buff" 						"Magnetic Block"
		"DOTA_Tooltip_modifier_voltex_rune_q_1_buff_description" 			"Increased Armor."

    	"DOTA_Tooltip_ability_voltex_rune_q_2"								"[Q2] Thunder Surge"
    	"DOTA_Tooltip_ability_voltex_rune_q_2_Description"					"A percentage of your agility is ADDED to all <font color=\"#5CCDF9\">Lightning</font> damage."
    	"DOTA_Tooltip_ability_voltex_rune_q_2_property_one"					"Damage Bonus"
    	"DOTA_Tooltip_ability_voltex_rune_q_2_suffix"						"% of agility"

		"DOTA_Tooltip_modifier_voltex_rune_q_2" 							"Chain Lightning"
		"DOTA_Tooltip_modifier_voltex_rune_q_2_description" 				"Your attacks have a 15%% chance to unleash a powerful Chain Lightning"
		
		"DOTA_Tooltip_ability_voltex_rune_q_3"								"[Q3] Power Break"
    	"DOTA_Tooltip_ability_voltex_rune_q_3_Description"					"Enemies struck by Overcharge electricity are burdened with a stacking armor debuff for 6 seconds."
    	"DOTA_Tooltip_ability_voltex_rune_q_3_property_one"					"Armor Loss per stack"
    	"DOTA_Tooltip_ability_voltex_rune_q_3_suffix"						""

    	"DOTA_Tooltip_modifier_voltex_rune_q_3"								"Power Break"
    	"DOTA_Tooltip_modifier_voltex_rune_q_3_Description"					"Losing Armor"
		
		"DOTA_Tooltip_ability_voltex_rune_q_4"								"[Q4] Overflow"
    	"DOTA_Tooltip_ability_voltex_rune_q_4_Description"					"Adds a % of your attack damage to Overcharge electricty damage."
    	"DOTA_Tooltip_ability_voltex_rune_q_4_property_one"					"Bonus Damage"
    	"DOTA_Tooltip_ability_voltex_rune_q_4_suffix"						"% of Attack Damage"
		
		"DOTA_Tooltip_ability_ability_zap"									"Static"
		"DOTA_Tooltip_ability_ability_zap_Description"						"Element: <font color=\"#5CCDF9\">Lightning</font><br>Voltex rebalances her ions, releasing a static discharge that deals damage and knocks back all surrounding units."
		"DOTA_Tooltip_ability_ability_zap_Lore"								""
		"DOTA_Tooltip_ability_ability_zap_damage"							"DAMAGE:"
    	"DOTA_Tooltip_ability_ability_zap_radius"							"RADIUS:"
		
		"DOTA_Tooltip_ability_voltex_rune_w_1"								"[W1] Silver Charge"
    	"DOTA_Tooltip_ability_voltex_rune_w_1_Description"					"Enemies hit by Static take pure damage based on Voltex's attack power. The effect is multiplied by Static's level."
    	"DOTA_Tooltip_ability_voltex_rune_w_1_property_one"					"Pure Damage"
    	"DOTA_Tooltip_ability_voltex_rune_w_1_suffix"						"% of attack power"

    	"DOTA_Tooltip_ability_voltex_rune_w_2"								"[W2] Proton Switch"
    	"DOTA_Tooltip_ability_voltex_rune_w_2_Description"					"When you cast Static - gain attack speed and damage for 2.0 seconds. Allies within Static's range also gain the buff."
    	"DOTA_Tooltip_ability_voltex_rune_w_2_property_one"					"Attack Speed"
    	"DOTA_Tooltip_ability_voltex_rune_w_2_suffix"						""
    	"DOTA_Tooltip_ability_voltex_rune_w_2_property_two"					"Attack Damage"
    	"DOTA_Tooltip_ability_voltex_rune_w_2_suffix_two"					"%"

		"DOTA_Tooltip_modifier_voltex_rune_w_2_self" 						"Proton Switch"
		"DOTA_Tooltip_modifier_voltex_rune_w_2_self_description" 			"Bonus attack speed and damage."
		"DOTA_Tooltip_modifier_voltex_rune_w_2_ally" 						"Proton Switch"
		"DOTA_Tooltip_modifier_voltex_rune_w_2_ally_description" 			"Received bonus attack speed and damage from Voltex."
		
		"DOTA_Tooltip_ability_voltex_rune_w_3"								"[W3] Ion Shell"
    	"DOTA_Tooltip_ability_voltex_rune_w_3_Description"					"Casting static applies a shield that absorbs 3 instances of damage. Enemies who break the shield take damage based on Voltex's agility."
    	"DOTA_Tooltip_ability_voltex_rune_w_3_property_one"					"Duration"
    	"DOTA_Tooltip_ability_voltex_rune_w_3_suffix"						" seconds"
    	"DOTA_Tooltip_ability_voltex_rune_w_3_property_two"					"Damage"
    	"DOTA_Tooltip_ability_voltex_rune_w_3_suffix_two"					"x Agility"

    	"DOTA_Tooltip_modifier_voltex_rune_w_3_shield"						"Ion Shell"
    	"DOTA_Tooltip_modifier_voltex_rune_w_3_shield_Description"			"Absorbs the next instance of damage and zaps the shield breaker."
		
		"DOTA_Tooltip_ability_voltex_rune_w_4"								"[W4] Fulminating Static"
    	"DOTA_Tooltip_ability_voltex_rune_w_4_Description"					"Enemies hit by static take increased magic damage from Voltex for 12 seconds."
    	"DOTA_Tooltip_ability_voltex_rune_w_4_property_one"					"Enhanced Magic Damage"
    	"DOTA_Tooltip_ability_voltex_rune_w_4_suffix"						"%"

    	"DOTA_Tooltip_modifier_voltex_d_b_debuff"							"Fulminating Static"
    	"DOTA_Tooltip_modifier_voltex_d_b_debuff_Description"				"Taking extra magic damage from Voltex"
		
		"DOTA_Tooltip_ability_electric_jump"								"Azure Leap"
		"DOTA_Tooltip_ability_electric_jump_Description"					"Element: <font color=\"#5CCDF9\">Lightning</font><br>Voltex leaps forward and slams the ground, stunning units on impact and dealing damage."
		"DOTA_Tooltip_ability_electric_jump_Lore"							""
		"DOTA_Tooltip_ability_electric_jump_land_stun_duration"				"IMPACT STUN:"
    	"DOTA_Tooltip_ability_electric_jump_land_radius"					"IMPACT RADIUS:"
    	"DOTA_Tooltip_ability_electric_jump_land_damage"					"IMPACT DAMAGE:"
		
		"DOTA_Tooltip_ability_heavens_charge"								"Heaven's Charge"
		"DOTA_Tooltip_ability_heavens_charge_Description"					"Element: <font color=\"#5CCDF9\">Lightning</font><br>Teleport to the target location, dealing damage and stunning at the impact point. Switches back to Azure Leap after use."
