		//Abilities
		"ekkan_corpse"														"Corpse"
		"ekkan_familiar"													"Gargoyle Sentry"
		"ekkan_skeleton_mage"												"Skeleton Mage"
		"ekkan_skeleton_archer"												"Skeleton Archer"
		"ekkan_supercharged_skeleton"										"Skeleton King"
		
		"notification_no_dominion"											"Can not be dominated"
    	"notification_raise_skeleton_fail"									"Must target a corpse"
    	"notification_supercharge_fail"										"Must target a summoned unit"
    	"notification_river_no_explosion"									"E1 not leveled"
    	"notification_supercharge_no_swarm"									"R2 not leveled"
    	"notification_supercharge_no_corpse_charge"							"R3 not leveled"

    	"DOTA_Tooltip_ability_ekkan_dominion"								"Dark Dominion"
    	"DOTA_Tooltip_ability_ekkan_dominion_Description"					"Element: <font color=ELEMENT_UNDEAD>Undead</font> / <font color=ELEMENT_DEMON>Demon</font><br>Curses an enemy unit's soul to eternal servitude of Ekkan. The target takes damage every 0.5 seconds based on their attack power. If an enemy dies while the dark dominion debuff is active, the unit joins Ekkan's army permanently until death. Can be cast on a dominated unit to instantly kill it. While Ekkan is dead, dominated units cannot move, attack or be attacked."
    	"DOTA_Tooltip_ability_ekkan_dominion_max_summons"					"MAX ARMY SIZE:"
    	"DOTA_Tooltip_ability_ekkan_dominion_move_slow"						"MOVE SLOW % WHILE ACTIVE:"
    	"DOTA_Tooltip_ability_ekkan_dominion_debuff_duration"				"DEBUFF DURATION:"
    	"DOTA_Tooltip_ability_ekkan_dominion_burn_damage"					"DAMAGE % OF VICTIM ATTACK POWER:"
		"DOTA_Tooltip_ability_ekkan_dominion_flat_hp_increase"				"BASE HP BONUS FOR DOMINATED UNIT:"
		
		"DOTA_Tooltip_modifier_dominion_counter"							"Dark Dominion Army Size"
    	"DOTA_Tooltip_modifier_dominion_counter_Description"				""
		
		"DOTA_Tooltip_ability_ekkan_creep_aggressive"						"Aggressive"
    	"DOTA_Tooltip_ability_ekkan_creep_aggressive_Description"			"This unit is hunting enemies. Activate to switch to Follow."

    	"DOTA_Tooltip_ability_ekkan_creep_follow"							"Follow"
    	"DOTA_Tooltip_ability_ekkan_creep_follow_Description"				"This unit is following its leader. Activate to switch to Passive."

    	"DOTA_Tooltip_ability_ekkan_creep_passive"							"Passive"
    	"DOTA_Tooltip_ability_ekkan_creep_passive_Description"				"This unit is not performing any actions unless instructed. Activate to switch to Aggressive."

    	"DOTA_Tooltip_modifier_ekkan_dominion_debuff"						"Dark Dominion"
    	"DOTA_Tooltip_modifier_ekkan_dominion_debuff_Description"			"Slowed. If this unit dies while this effect is active, it joins Ekkan's army."

    	"DOTA_Tooltip_modifier_ekkan_dominion_unit"							"Dominated"
   		"DOTA_Tooltip_modifier_ekkan_dominion_unit_Description"				"Serving Ekkan"

		"DOTA_Tooltip_modifier_ekkan_dominion_hero_dead"					"Disabled"
		"DOTA_Tooltip_modifier_ekkan_dominion_hero_dead_Description"		"While Ekkan is dead, this unit cannot move, attack or be attacked."
		
		"DOTA_Tooltip_ability_ekkan_rune_q_1"								"[Q1] Zombie Strike"
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_Description"					"Dominated units have a <% EKKAN_Q1_DAMAGE_CHANCE %>% chance on attack to damage enemies in a line."
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_property_one"					"Crit Damage"
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_suffix"						"% of dominated unit's attack damage"
		
		"DOTA_Tooltip_ability_ekkan_zombie_strike"							"Zombie Strike"
    	"DOTA_Tooltip_ability_ekkan_zombie_strike_Description"				"<% EKKAN_Q1_DAMAGE_CHANCE %>% chance on attack to hit enemies in a line."
		
		"DOTA_Tooltip_ability_ekkan_rune_q_2"								"[Q2] Gloomy Awakening"
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_Description"					"Dominated enemies have increased max health."
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_property_one"					"Bonus Max Health"
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_suffix"						"%"

    	"DOTA_Tooltip_ability_ekkan_rune_q_3"								"[Q3] Dark Journey"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_Description"					"When a dominated unit gets a killing blow on an enemy, it gains permanent attack damage, armor and magic armor bonus. Max <% EKKAN_Q3_MAX_STACKS %> stacks of bonus Damage."
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_property_one"					"Attack Damage Bonus"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_suffix"						""
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_property_two"					"Armor and Magic Armor Bonus"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_suffix_two"					""

    	"DOTA_Tooltip_modifier_ekkan_dominion_stacks_visible"						"Dark Journey Stacks"
    	"DOTA_Tooltip_modifier_ekkan_dominion_stacks_visible_Description"			"Harvested the souls of enemies, increasing armor and attack power."

    	"DOTA_Tooltip_ability_ekkan_rune_q_4"								"[Q4] Grim Alacrity"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_Description"					"Dominated enemies have increased movespeed and attack speed."
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_property_one"					"Movespeed"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_suffix"						""
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_property_two"					"Attack Speed"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_suffix_two"					""

    	"DOTA_Tooltip_modifier_ekkan_d_a_alacrity"							"Grim Alacrity"
    	"DOTA_Tooltip_modifier_ekkan_d_a_alacrity_Description"				"Increased movespeed and attack speed."
		
