		//Abilities
		"ekkan_corpse"														"Труп"
		"ekkan_familiar"													"Гаргулья-Страж"
		"ekkan_skeleton_mage"												"Скелет-Маг"
		"ekkan_skeleton_archer"												"Скелет-Лучник"
		"ekkan_supercharged_skeleton"										"Скелет-Король"
		
		"notification_no_dominion"											"Невозможно подчинить"
    	"notification_raise_skeleton_fail"									"Выберите труп"
    	"notification_supercharge_fail"										"Необходимо выбрать подчинённого юнита"
    	"notification_river_no_explosion"									"Руна E1 не изучена"
    	"notification_supercharge_no_swarm"									"Руна R2 не изучена"
    	"notification_supercharge_no_corpse_charge"							"Руна R3 не изучена"

    	"DOTA_Tooltip_ability_ekkan_dominion"								"Dark Dominion"
    	"DOTA_Tooltip_ability_ekkan_dominion_Description"					"Стихия: <font color=\"#5C776E\">Нежить</font> / <font color=\"#5B648C\">Демон</font><br>Проклинает вражескую душу. Каждые 0.5 секунды противник получает урон , зависящий от значения своего урона. Если враг умирает, пока действует эффект, юнит навсегда присоединяется к армии Ekkan, пока не умрёт.<br><font color='#70EA72'>Применение этого умения на подчинённого юнита убьёт его.</font>"
    	"DOTA_Tooltip_ability_ekkan_dominion_max_summons"					"МАКСИМУМ ПОДЧИНЁННЫХ ЮНИТОВ:"
    	"DOTA_Tooltip_ability_ekkan_dominion_move_slow"						"ЗАМЕДЛЕНИЕ, ПОКА АКТИВНО, %:"
    	"DOTA_Tooltip_ability_ekkan_dominion_debuff_duration"				"ДЛИТЕЛЬНОСТЬ ЭФФЕКТА:"
    	"DOTA_Tooltip_ability_ekkan_dominion_burn_damage"					"УРОН, % ОТ ВСЕГО УРОНА ЦЕЛИ:"
		"DOTA_Tooltip_ability_ekkan_dominion_flat_hp_increase"				"УВЕЛИЕНИЕ БАЗОВОГО ХП ЮНИТА:"
		
		"DOTA_Tooltip_modifier_dominion_counter"							"Подчинено юнитов"
    	"DOTA_Tooltip_modifier_dominion_counter_Description"				""
		
		"DOTA_Tooltip_ability_ekkan_creep_aggressive"						"Агрессивный"
    	"DOTA_Tooltip_ability_ekkan_creep_aggressive_Description"			"Этот юнит всегда стремится атаковать врагов при первой возможности. Нажмите, чтобы сменить режим на 'Последующий'."

    	"DOTA_Tooltip_ability_ekkan_creep_follow"							"Последующий"
    	"DOTA_Tooltip_ability_ekkan_creep_follow_Description"				"Этот юнит будет следовать за героем. Нажмите, чтобы сменить режим на 'Пассивный'."

    	"DOTA_Tooltip_ability_ekkan_creep_passive"							"Пассивный"
    	"DOTA_Tooltip_ability_ekkan_creep_passive_Description"				"Этот юнит не предпринимает никаких действий, пока не будет отдан соответствующий приказ. Нажмите, чтобы сменить режим на 'Агрессивный'."

    	"DOTA_Tooltip_modifier_ekkan_dominion_debuff"						"Dark Dominion"
    	"DOTA_Tooltip_modifier_ekkan_dominion_debuff_Description"			"Замедлен. Если этот юнит погибнет, пока активен этот эффект, он присоединится к армии Ekkan."

    	"DOTA_Tooltip_modifier_ekkan_dominion_unit"							"Dominated"
   		"DOTA_Tooltip_modifier_ekkan_dominion_unit_Description"				"В подчинении у Ekkan"
		
		"DOTA_Tooltip_ability_ekkan_rune_q_1"								"[Q1] Zombie Strike"
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_Description"					"Все подчинённые юниты с <% EKKAN_Q1_DAMAGE_CHANCE %>% шансом при атаке нанесут магический урон по линии позади цели."
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_property_one"					"Доп. магический урон"
    	"DOTA_Tooltip_ability_ekkan_rune_q_1_suffix"						"% от урона подчинённого юнита"
		
		"DOTA_Tooltip_ability_ekkan_zombie_strike"							"Zombie Strike"
    	"DOTA_Tooltip_ability_ekkan_zombie_strike_Description"				"С <% EKKAN_Q1_DAMAGE_CHANCE %>% шансом при атаке нанесёт магический урон позади цели."
		
		"DOTA_Tooltip_ability_ekkan_rune_q_2"								"[Q2] Gloomy Awakening"
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_Description"					"Увеличивает максимальное значение здоровья подчинённых юнитов."
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_property_one"					"Макс. здоровье"
    	"DOTA_Tooltip_ability_ekkan_rune_q_2_suffix"						"%"

    	"DOTA_Tooltip_ability_ekkan_rune_q_3"								"[Q3] Dark Journey"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_Description"					"Когда призванный юнит совершает убийство, он получает постоянный бонус к урону, броне и магической защите. Максимум <% EKKAN_Q3_MAX_STACKS %> зарядов Урона."
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_property_one"					"Доп. урон"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_suffix"						""
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_property_two"					"Доп. броня и магическая защита"
    	"DOTA_Tooltip_ability_ekkan_rune_q_3_suffix_two"					""

    	"DOTA_Tooltip_modifier_ekkan_dominion_stacks_visible"						"Заряды [Q3] Dark Journey"
    	"DOTA_Tooltip_modifier_ekkan_dominion_stacks_visible_Description"			"Собраны души врагов. Урон и броня увеличены."

    	"DOTA_Tooltip_ability_ekkan_rune_q_4"								"[Q4] Grim Alacrity"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_Description"					"Увеличивает скорость атаки и передвижения подчинённых юнитов."
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_property_one"					"Доп. скорость передвижения"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_suffix"						""
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_property_two"					"Доп. скорость атаки"
    	"DOTA_Tooltip_ability_ekkan_rune_q_4_suffix_two"					""

    	"DOTA_Tooltip_modifier_ekkan_d_a_alacrity"							"Grim Alacrity"
    	"DOTA_Tooltip_modifier_ekkan_d_a_alacrity_Description"				"Скорость атаки и передвижения увеличены."
		
		"DOTA_Tooltip_ability_ekkan_summon_skeleton"						"Summon Skeleton"
   		"DOTA_Tooltip_ability_ekkan_summon_skeleton_Description"			"Враги, умирающие в радиусе <font color='#70EA72'>1500</font> от Ekkan оставляют горстку костей в месте своей смерти. Ekkan может выбрать небольшую область, в которой находятся трупы, чтобы призвать скелетов - воинов, которые будут сражаться на стороне героя."
		"DOTA_Tooltip_ability_ekkan_summon_skeleton_max_skeletons"			"МАКСИМУМ СКЕЛЕТОВ:"
		"DOTA_Tooltip_ability_ekkan_summon_skeleton_skeleton_duration"		"ВРЕМЯ СУЩЕСТВОВАНИЯ:"
		"DOTA_Tooltip_ability_ekkan_summon_skeleton_armor_mult"				"МНОЖИТЕЛЬ БРОНИ ОТ ПОКАЗАТЕЛЯ БРОНИ EKKAN:"
		"DOTA_Tooltip_ability_ekkan_summon_skeleton_attack_mult"			"МНОЖИТЕЛЬ УРОНА ОТ УРОНА EKKAN:"
		"DOTA_Tooltip_ability_ekkan_summon_skeleton_skeleton_health"		"ЗДОРОВЬЕ СКЕЛЕТОВ:"

		"castle_skeleton_warrior"											"Скелет - воин"

		"DOTA_Tooltip_modifier_summon_skeleton_counter"						"Количество призванных скелетов"
		"DOTA_Tooltip_modifier_summon_skeleton_counter_Description"			""

		"DOTA_Tooltip_modifier_skeleton_summon_unit"						"Призванный скелет"
		
		"DOTA_Tooltip_ability_ekkan_rune_w_1"								"[W1] Skeleton Archers"
    	"DOTA_Tooltip_ability_ekkan_rune_w_1_Description"					"С 30% шансом вместо скелета - воина будет призван скелет - лучник. Имеют множитель от урона персонажа и 30% шанс нанести критический урон с элементом <font color=\"#5C776E\">Нежити</font>."
    	"DOTA_Tooltip_ability_ekkan_rune_w_1_property_one"					"Множитель урона от урона Ekkan"
    	"DOTA_Tooltip_ability_ekkan_rune_w_1_suffix"						"%"
		"DOTA_Tooltip_ability_ekkan_rune_w_1_property_two"                  "Урон атаки (Базовый)"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_suffix_two"                    ""
		"DOTA_Tooltip_ability_ekkan_rune_w_1_property_three"                  "Критический Урон"
        "DOTA_Tooltip_ability_ekkan_rune_w_1_suffix_three"                    "%"

    	"DOTA_Tooltip_ability_ekkan_rune_w_2"								"[W2] Extended Reanimation"
    	"DOTA_Tooltip_ability_ekkan_rune_w_2_Description"					"Увеличивает время жизни призванных скелетов. Каждый вызванный скелет увеличивает элемент <font color=\"#5C776E\">Нежити</font>."
    	"DOTA_Tooltip_ability_ekkan_rune_w_2_property_one"					"Доп. время жизни скелетов"
    	"DOTA_Tooltip_ability_ekkan_rune_w_2_suffix"						" сек."
		"DOTA_Tooltip_ability_ekkan_rune_w_2_property_two"                  "Усиление элемента <font color=\"#5C776E\">Нежити</font>"
        "DOTA_Tooltip_ability_ekkan_rune_w_2_suffix_two"                    "% за каждого активного скелета"

    	"DOTA_Tooltip_ability_ekkan_rune_w_3"								"[W3] Skeleton Mages"
    	"DOTA_Tooltip_ability_ekkan_rune_w_3_Description"					"С 30% шансом вместо скелета - воина будет призван скелет - маг, который наносит магический урон по области, снижает магическую защиту у пораженных заклинанием целей и замедляет задетых врагов. Урон принадлежит скелету, но усиливается элементами и силой способностей героя."
    	"DOTA_Tooltip_ability_ekkan_rune_w_3_property_one"					"Магический урон по области"
    	"DOTA_Tooltip_ability_ekkan_rune_w_3_suffix"						"% от урона"
    	"DOTA_Tooltip_ability_ekkan_rune_w_3_property_two"					"Замедление"
    	"DOTA_Tooltip_ability_ekkan_rune_w_3_suffix_two"					""
		"DOTA_Tooltip_ability_ekkan_rune_w_3_property_three"                "Снижение Магической Защиты"
        "DOTA_Tooltip_ability_ekkan_rune_w_3_suffix_three"                  ""

    	"DOTA_Tooltip_ability_ekkan_mage_blast"								"Grave Blast"
    	"DOTA_Tooltip_ability_ekkan_mage_blast_Description"					"Наносит урон по области с задержкой в 1 секунду, дополнительно замедляя всех задетых врагов. Усиливается от базового умения @Ability2."

    	"DOTA_Tooltip_modifier_mage_blast_slow"								"Grave Blast"
    	"DOTA_Tooltip_modifier_mage_blast_slow_Description"					"Замедлен"

    	"DOTA_Tooltip_ability_ekkan_rune_w_4"								"[W4] Cloak of Shadows"
    	"DOTA_Tooltip_ability_ekkan_rune_w_4_Description"					"Ekkan и все призванные скелеты получают бонусы к Магической защите и Пробитиям."
    	"DOTA_Tooltip_ability_ekkan_rune_w_4_property_one"					"Магическая Защита"
    	"DOTA_Tooltip_ability_ekkan_rune_w_4_suffix"						""
        "DOTA_Tooltip_ability_ekkan_rune_w_4_property_two"                  "Пробитие Брони и Магической Защиты"
        "DOTA_Tooltip_ability_ekkan_rune_w_4_suffix_two"                    ""
		
		"DOTA_Tooltip_ability_ekkan_river_of_souls"							"Acheron's Portal"
		"DOTA_Tooltip_ability_ekkan_river_of_souls_Description"				"Создаёт портал в указанной точке. Попадая в портал, вы и вся ваша армия перемещается к другому такому же порталу с <font color='#70EA72'>1.5</font> секундной задержкой.<br><font color='#70EA72'>Любой герой может воспользоваться порталом</font>."	
		"DOTA_Tooltip_ability_ekkan_river_of_souls_cast_range"				"CAST RANGE:"

		"DOTA_Tooltip_modifier_river_of_souls_teleporting"					"Acheron's Portal - телепортация"
		
		"DOTA_Tooltip_ability_ekkan_rune_e_1"								"[E1] Detonate Corpse"
    	"DOTA_Tooltip_ability_ekkan_rune_e_1_Description"					"Применение @Ability3 на труп вызовет взрыв, который нанесёт урон в зависимости от максимального здоровья убитого существа перед его смертью."
    	"DOTA_Tooltip_ability_ekkan_rune_e_1_property_one"					"Урон"
    	"DOTA_Tooltip_ability_ekkan_rune_e_1_suffix"						"% от макс. здоровья"
    	"DOTA_Tooltip_ability_ekkan_rune_e_1_property_two"					"Радиус взрыва"
    	"DOTA_Tooltip_ability_ekkan_rune_e_1_suffix_two"					""

    	"DOTA_Tooltip_ability_ekkan_rune_e_2"								"[E2] Summon Familiars"
