    	"DOTA_Tooltip_ability_item_rpc_ablecore_greaves"								"Ablecore Greaves"

		"item_property_ablecore_greaves"					"Slugfoot"
		"property_ablecore_greaves_description"			"While movespeed is less than or equal to <% ITEM_RPC_ABLECORE_GREAVES_MS_REQ %>, incoming damage is reduced by <% ITEM_RPC_ABLECORE_GREAVES_DMG_RED %>% and Base Ability Damage damage is increased by <% ITEM_RPC_ABLECORE_GREAVES_BAD %>%."
		"DOTA_Tooltip_modifier_ablecore_greaves_effect"	"Slugfoot"
		"DOTA_Tooltip_modifier_ablecore_greaves_effect_Description"	"Incoming damage reduced by <% ITEM_RPC_ABLECORE_GREAVES_DMG_RED %>%% and Base Ability Damage is increased by <% ITEM_RPC_ABLECORE_GREAVES_BAD %>%%"

    	"item_rpc_ablecore_greaves_ruby1"								"Increases the damage reduction of Slugfoot by an additional @ruby_property1%, and the buff sticks for @ruby_property2 seconds if your movespeed moves back above the movespeed threshold."
    	"item_rpc_ablecore_greaves_emerald1"								"Slugfoot buff increases Item Damage by @emerald_property1% and Armor Pierce and Spell Pierce by @emerald_property2"
    	"item_rpc_ablecore_greaves_sapphire1"								"Increases the movespeed threshold to activate Slugfoot by @sapphire_property1 movespeed"
    	"item_rpc_ablecore_greaves_amethyst1"								"Slugfoot buff also increases Attack Power by @amethyst_property1%"

    	"DOTA_Tooltip_ability_item_rpc_admiral_boots"									"Admiral's Boots"
		"item_property_admiral_boots"				"Sea Commander"
		"property_admiral_boots_description"		"Increases the damage of @Ability3 by <% ITEM_RPC_ADMIRAL_BOOTS_BAD_E %>%"

    	"item_rpc_admiral_boots_ruby1"									"Increases Rune [E1] by @ruby_property1"
    	"item_rpc_admiral_boots_emerald1"									"Increases Rune [E3] by @emerald_property1"
    	"item_rpc_admiral_boots_sapphire1"									"Increases Rune [E2] by @sapphire_property1"
    	"item_rpc_admiral_boots_amethyst1"									"Increases Rune [E4] by @amethyst_property1"

    	"DOTA_Tooltip_ability_item_rpc_alaranas_ice_boot"								"Alarana's Ice Boots"

		"item_property_alarana"								"Ice Block"
		 "property_alarana_description"							"Casting @Ability4 encases you in ice, rooting you and reducing all damage taken by 100% for <% ITEM_RPC_ALARANAS_ICE_BOOT_ICE_ENCASE_DURATION %> seconds. If total damage blocked exceeds <% ITEM_RPC_ALARANAS_ICE_BOOT_DAMAGE_BLOCK_THRESHOLD_OF_MAX_HP %>% your Max Health, the shield shatters, rooting all nearby enemies and dealing damage equal to <% ITEM_RPC_ALARANAS_ICE_BOOT_EXPLOSION_DAMAGE_OF_MAX_HP %>x your Max Health."
		 "DOTA_Tooltip_modifier_alarana_ice_freeze"				"Ice Block"
		 "DOTA_Tooltip_modifier_alarana_frost_nova"				"Frost Nova"
		 "DOTA_Tooltip_modifier_alarana_frost_nova_Description"	"Rooted"

    	"item_rpc_alaranas_ice_boot_ruby1"								"Increases Max Health by @ruby_property1 and Intelligence by @ruby_property2"
    	"item_rpc_alaranas_ice_boot_emerald1"								"You can activate Ice Block for @emerald_property1 seconds by casting [Q]"
    	"item_rpc_alaranas_ice_boot_sapphire1"								"While encased in ice, increase Spell Pierce by @sapphire_property1"
    	"item_rpc_alaranas_ice_boot_amethyst1"								"Gain Health Regen equal to @amethyst_property1% of max health while in Ice Block"

    	"DOTA_Tooltip_ability_item_rpc_arcanys_slipper"									"Arcanys Slippers"

		"item_property_arcanys_slipper"				"Arcane Rush"
		"property_arcanys_slipper_description"		"After casting @Ability3, release <% ITEM_RPC_ARCANYS_SLIPPER_NUMBER_OF_EXPLOSIONS %> poofs of arcane energy over <% ITEM_RPC_ARCANYS_SLIPPER_EXPLOSIONS_DURATION %> seconds. Each explosion drains <% ITEM_RPC_ARCANYS_SLIPPER_MANA_DRAIN_PER_EXPLOSION_PCT %>% of your max mana and adds base attack damage equal to <% ITEM_RPC_ARCANYS_SLIPPER_BASE_ATTACK_FOR_MANA_DRAIN %>% of the mana drained."
		"DOTA_Tooltip_modifier_arcanys_slipper_buff"	"Arcane Rush"
		"DOTA_Tooltip_modifier_arcanys_slipper_buff_Description"	"Increased Attack Damage"

    	"item_rpc_arcanys_slipper_ruby1"									"Each poof deals damage based on @ruby_property1% of attack power in a <% ITEM_RPC_ARCANYS_SLIPPER_RUBY_RADIUS %> radius"
    	"item_rpc_arcanys_slipper_emerald1"									"Each point of attack damage gained from Arcane Rush also increases Spell Pierce by @emerald_property1"
    	"item_rpc_arcanys_slipper_sapphire1"									"Increases Max Mana by @sapphire_property1"
    	"item_rpc_arcanys_slipper_amethyst1"									"Increases Intelligence by @amethyst_property1 and <font color=\"#E1A2E8\">Arcane</font> Elemental Damage by @amethyst_property2%"

    	"DOTA_Tooltip_ability_item_rpc_bloodstone_boots"								"Bloodstone Boots"

		"item_property_bloodstone_boots"						"Vital Mobility"
		 "property_bloodstone_boots_description"				"While below <% ITEM_RPC_BLOODSTONE_BOOTS_HP_TRESHOLD_PCT %>% health, @Ability3 has a <% ITEM_RPC_BLOODSTONE_BOOTS_E_CD %>-second cooldown."

    	"item_rpc_bloodstone_boots_ruby1"								"Increases the health threshold to activate Vital Mobility by an additional @ruby_property1% of max health"
    	"item_rpc_bloodstone_boots_emerald1"								"While below the health threshold, reduce all damage taken by @emerald_property1%"
    	"item_rpc_bloodstone_boots_sapphire1"								"Each missing point of health increases Armor Pierce and Spell Pierce by @sapphire_property1"
    	"item_rpc_bloodstone_boots_amethyst1"								"While below the health threshold, gain @amethyst_property1 movespeed and @amethyst_property2 max movespeed"

    	"DOTA_Tooltip_ability_item_rpc_blue_dragon_greaves"								"Blue Dragon Greaves"

		"item_property_dragon_greaves"				"Dragon Dance"
		"property_dragon_greaves_description"		"For every <% ITEM_RPC_BLUE_DRAGON_GREAVES_DISTANCE %> units of distance moved, gain <% ITEM_RPC_BLUE_DRAGON_GREAVES_EVASION %>% evasion and <% ITEM_RPC_BLUE_DRAGON_GREAVES_BONUS_ATTACK_DAMAGE %>% bonus attack damage for <% ITEM_RPC_BLUE_DRAGON_GREAVES_DURATION %> seconds."
		"DOTA_Tooltip_modifier_blue_dragon_greaves_effect"	"Dragon Dance"
		"DOTA_Tooltip_modifier_blue_dragon_greaves_effect_Description" "<% ITEM_RPC_BLUE_DRAGON_GREAVES_EVASION %>%% evasion and <% ITEM_RPC_BLUE_DRAGON_GREAVES_BONUS_ATTACK_DAMAGE %>%% increased attack damage"

    	"item_rpc_blue_dragon_greaves_ruby1"								"Casting [E] applies Dragon Dance for @ruby_property1 seconds and Dragon Dance adds @ruby_property2 Base Attack Damage"
    	"item_rpc_blue_dragon_greaves_emerald1"								"Dragon Dance increases Agility and Spirit by @emerald_property1"
    	"item_rpc_blue_dragon_greaves_sapphire1"								"Increases Dragon Dance duration by @sapphire_property1%, and Dragon Dance increases Attack Speed by @sapphire_property2"
    	"item_rpc_blue_dragon_greaves_amethyst1"								"Increases <font color=\"#3289C7\">Dragon</font> Elemental Damage and Item Damage by @amethyst_property1%"

    	"DOTA_Tooltip_ability_item_rpc_boots_of_ashara"									"Boots of Ashara"

		 "item_property_boots_of_ashara"						"Autumnwood Charm"
		 "property_boots_of_ashara_description"					"Increases Status Resistance by <% ITEM_RPC_BOOTS_OF_ASHARA_STATUS_RESIST %>%"

