		"DOTA_Tooltip_ability_item_rpc_ablecore_greaves"								"Ablecore Greaves"

		"item_property_ablecore_greaves"					"Slugfoot"
		"property_ablecore_greaves_description"			"Если Скорость Передвижения меньше <% ITEM_RPC_ABLECORE_GREAVES_MS_REQ %>, входящий урон снижается на <% ITEM_RPC_ABLECORE_GREAVES_DMG_RED %>%, а Базовый Урон Способностей повышается на <% ITEM_RPC_ABLECORE_GREAVES_BAD %>%."
		"DOTA_Tooltip_modifier_ablecore_greaves_effect"	"Slugfoot"
		"DOTA_Tooltip_modifier_ablecore_greaves_effect_Description"	"Входящий урон снижается на <% ITEM_RPC_ABLECORE_GREAVES_DMG_RED %>%%, Базовый Урон Способностей повышается на <% ITEM_RPC_ABLECORE_GREAVES_BAD %>%%"

    	"item_rpc_ablecore_greaves_ruby1"								"Сопротивление к урону от эффекта увеличивается на @ruby_property1%, эффект сохраняется @ruby_property2 сек, если скорость начинает превышать требуемую."
    	"item_rpc_ablecore_greaves_emerald1"								"Эффект увеличивает Урон Предметов на @emerald_property1% и Пробития Брони и Магической Защиты на @emerald_property2"
    	"item_rpc_ablecore_greaves_sapphire1"								"Увеличивает необходимый порог скорости для активации эффекта на @sapphire_property1"
    	"item_rpc_ablecore_greaves_amethyst1"								"Эффект увеличивает Бонусную Силу Атаки на @amethyst_property1%"

    	"DOTA_Tooltip_ability_item_rpc_admiral_boots"									"Admiral's Boots"
		"item_property_admiral_boots"				"Sea Commander"
		"property_admiral_boots_description"		"Базовый Урон Способности @Ability3 увеличен на <% ITEM_RPC_ADMIRAL_BOOTS_BAD_E %>%"

    	"item_rpc_admiral_boots_ruby1"									"Увеличивает руну [E1] на @ruby_property1"
    	"item_rpc_admiral_boots_emerald1"									"Увеличивает руну [E3] на @emerald_property1"
    	"item_rpc_admiral_boots_sapphire1"									"Увеличивает руну [E2] на @sapphire_property1"
    	"item_rpc_admiral_boots_amethyst1"									"Увеличивает руну [E4] на @amethyst_property1"

    	"DOTA_Tooltip_ability_item_rpc_alaranas_ice_boot"								"Alarana's Ice Boots"

		"item_property_alarana"								"Ice Block"
		 "property_alarana_description"							"Прочтение @Ability4 замораживает героя, обездвиживая его и снижая весь входящий урон на 100%, длительность <% ITEM_RPC_ALARANAS_ICE_BOOT_ICE_ENCASE_DURATION %> сек. Если во время заморозки герой получит суммарный урон в эквиваленте <% ITEM_RPC_ALARANAS_ICE_BOOT_DAMAGE_BLOCK_THRESHOLD_OF_MAX_HP %>% от максимального Здоровья, лёд расколется, обездвижит и нанесет урона в <% ITEM_RPC_ALARANAS_ICE_BOOT_EXPLOSION_DAMAGE_OF_MAX_HP %>x от Здоровья противникам поблизости."
		 "DOTA_Tooltip_modifier_alarana_ice_freeze"				"Ice Block"
		 "DOTA_Tooltip_modifier_alarana_frost_nova"				"Frost Nova"
		 "DOTA_Tooltip_modifier_alarana_frost_nova_Description"	"Обездвижен"

    	"item_rpc_alaranas_ice_boot_ruby1"								"Увеличивает Здоровье на @ruby_property1 и Интеллект на @ruby_property2"
    	"item_rpc_alaranas_ice_boot_emerald1"								"Заморозка героя активируется на @emerald_property1 сек при прочтении [Q]"
    	"item_rpc_alaranas_ice_boot_sapphire1"								"Замороженный Герой получает @sapphire_property1 Пробития Магической Защиты"
    	"item_rpc_alaranas_ice_boot_amethyst1"								"Увеличивает регенерацию Здоровья на @amethyst_property1% от максимума во время заморозки"

    	"DOTA_Tooltip_ability_item_rpc_arcanys_slipper"									"Arcanys Slippers"

		"item_property_arcanys_slipper"				"Arcane Rush"
		"property_arcanys_slipper_description"		"Прочтение @Ability3 освобождает энергию из героя серией из <% ITEM_RPC_ARCANYS_SLIPPER_NUMBER_OF_EXPLOSIONS %> хлопков в течение <% ITEM_RPC_ARCANYS_SLIPPER_EXPLOSIONS_DURATION %> сек. Каждый хлопок тратит <% ITEM_RPC_ARCANYS_SLIPPER_MANA_DRAIN_PER_EXPLOSION_PCT %>% от максимальной Маны и даёт Базовую Силу Атаки <% ITEM_RPC_ARCANYS_SLIPPER_BASE_ATTACK_FOR_MANA_DRAIN %>% от затраченной маны."
		"DOTA_Tooltip_modifier_arcanys_slipper_buff"	"Arcane Rush"
		"DOTA_Tooltip_modifier_arcanys_slipper_buff_Description"	"Базовая Сила Атаки увеличена"

    	"item_rpc_arcanys_slipper_ruby1"									"Каждый хлопок наносит @ruby_property1% урона от Силы Атаки героя в <% ITEM_RPC_ARCANYS_SLIPPER_RUBY_RADIUS %> радиусе"
    	"item_rpc_arcanys_slipper_emerald1"									"Затраченная Мана также увеличивает Пробитие Магической защиты, @emerald_property1 за каждую единицу полученной атаки от основного эффекта"
    	"item_rpc_arcanys_slipper_sapphire1"									"Увеличивает запас Маны на @sapphire_property1"
    	"item_rpc_arcanys_slipper_amethyst1"									"Повышает Интеллект на @amethyst_property1 и даёт @amethyst_property2% урона элемента <font color=\"#E1A2E8\">Тайны</font>"

    	"DOTA_Tooltip_ability_item_rpc_bloodstone_boots"								"Bloodstone Boots"

		"item_property_bloodstone_boots"						"Vital Mobility"
		 "property_bloodstone_boots_description"				"При показателе Здоровья ниже <% ITEM_RPC_BLOODSTONE_BOOTS_HP_THRESHOLD_PCT %>% @Ability3 имеет <% ITEM_RPC_BLOODSTONE_BOOTS_E_CD %>-секундную перезарядку."

    	"item_rpc_bloodstone_boots_ruby1"								"Увеличивает порог Здоровья для активации эффекта на@ruby_property1% от Здоровья"
    	"item_rpc_bloodstone_boots_emerald1"								"Повышает сопротивление урону на @emerald_property1% во время активного эффекта"
    	"item_rpc_bloodstone_boots_sapphire1"								"Отсутствующее Здоровье увеличивает Пробития Брони и Магической Защиты на @sapphire_property1"
    	"item_rpc_bloodstone_boots_amethyst1"								"При активном эффекте герой получает бонус @amethyst_property1 скорости передвижения и @amethyst_property2 лимита скорости"
		
		 "DOTA_Tooltip_ability_item_rpc_slinger_boots"                                   "Bladeslinger Boots"

        "item_property_slinger_boot"                "Bladeslinger"
        "property_slinger_boots_description"        "Перемещение на дистанцию <% ITEM_RPC_SLINGER_BOOTS_DISTANCE_TO_TRIGGER %> выпускает <% ITEM_RPC_SLINGER_BOOTS_BLADES_THROWN %> лезвия, атакующие противников в радиусе <% ITEM_RPC_SLINGERS_BOOTS_SEARCH_RANGE %> и наносящие <% ITEM_RPC_SLINGER_BOOTS_DAMAGE_BLADE_PCT_ATK_POWER %>% от Силы Атаки героя. Лезвия отскакивают до <% ITEM_RPC_SLINGER_BOOTS_BOUNCE_COUNT %> раз и только <% ITEM_RPC_SLINGER_BOOTS_MAX_ACTIVE_BLADES %> лезвия могут существовать одновременно."

        "DOTA_Tooltip_modifier_active_bladeslinger_blades"  "Active Bladeslinger"

        "item_rpc_slinger_boots_ruby1"                                  "Дополнительный шанс @ruby_property1% выпустить еще одно лезвие при срабатывании эффекта"
        "item_rpc_slinger_boots_emerald1"                                   "Лезвия отскакивают от противников еще @emerald_property1 раз и имеют на @emerald_property2 больше урона"
        "item_rpc_slinger_boots_sapphire1"                                  "Базовая Сила Атаки повышена на @sapphire_property1 и урон лезвий увеличен на дополнительные @sapphire_property2% от Силы Атаки"
        "item_rpc_slinger_boots_amethyst1"                                  "Пробитие Брони увеличено на @amethyst_property1. Каждые @amethyst_property2 сек герой наносит атаку по всем противникам за своей спиной (дуга 180°)."

