
    	"DOTA_Tooltip_ability_item_rpc_slinger_boots"									"飞刀杂耍者之靴"
		"item_property_slinger_boot"				"飞刀杂耍者"
        "property_slinger_boots_description"        "移动<% ITEM_RPC_SLINGER_BOOTS_DISTANCE_TO_TRIGGER %> 距离后将会向周围<% ITEM_RPC_SLINGERS_BOOTS_SEARCH_RANGE %> 范围内的敌人掷出 <% ITEM_RPC_SLINGER_BOOTS_BLADES_THROWN %> 个飞刃，对敌人造成<% ITEM_RPC_SLINGER_BOOTS_DAMAGE_BLADE_PCT_ATK_POWER %>% 攻击力的伤害。飞刃可以弹射 <% ITEM_RPC_SLINGER_BOOTS_BOUNCE_COUNT %> 次，同一时间里最多存在 <% ITEM_RPC_SLINGER_BOOTS_MAX_ACTIVE_BLADES %> 个飞刃。"

        "DOTA_Tooltip_modifier_active_bladeslinger_blades"  "主动 飞刀杂耍者"

        "item_rpc_slinger_boots_ruby1"                                  "每次触发有 @ruby_property1% 概率额外释放一个飞刃"
        "item_rpc_slinger_boots_emerald1"                                   "增加飞刃的弹射次数 @emerald_property1 并且造成 @emerald_property2 点伤害"
        "item_rpc_slinger_boots_sapphire1"                                  "增加基础攻击力 @sapphire_property1 点并且增加飞刃攻击力系数 @sapphire_property2% "
        "item_rpc_slinger_boots_amethyst1"                                  "增加物理穿透 @amethyst_property1点并且现在每隔 @amethyst_property2 秒都会立刻攻击你背后180角度内的敌人，该次攻击可以触发所有攻击特效"


    	"DOTA_Tooltip_ability_item_rpc_sange_boots"										"散华之鞋"
		"item_property_sange"						"战斗大师S"
        "property_sange_description"                "每点敏捷提供 <% ITEM_RPC_SANGE_BOOTS_HP_PER_AGI %> 点最大生命值以及 <% ITEM_RPC_SANGE_BOOTS_ARMOR_PER_AGI %>点护甲。"

        "item_rpc_sange_boots_ruby1"                                        "增加 @ruby_property1点力量"
        "item_rpc_sange_boots_emerald1"                                     "增加 @emerald_property1点敏捷"
        "item_rpc_sange_boots_sapphire1"                                        "增加 @sapphire_property1%点最大生命值"
        "item_rpc_sange_boots_amethyst1"                                        "每点敏捷提供 @amethyst_property1点基础攻击力"
		
		
		"DOTA_Tooltip_ability_item_rpc_dunetreads"									"沙丘之靴"
        "item_rpc_dunetreads_ruby1"                                    "释放 [E] 有 @ruby_property1% 概率重置该技能的冷却时间。"
		"item_rpc_dunetreads_ability_ruby_tooltip"				"@ruby_property1% chance to not go on cooldown."
        "item_rpc_dunetreads_emerald1"                                 "当 [E] 不在冷却时将会获得 @emerald_property1 点物理穿透"
        "item_rpc_dunetreads_sapphire1"                                    "当 [E] 不在冷却时，获得 @sapphire_property1 点移动速度和最大移动速度加成。"
        "item_rpc_dunetreads_amethyst1"                                    "每点敏捷提供 @amethyst_property1点护甲和魔甲"
		"item_property_dunetreads"					"沙丘行者"
		"property_dunetreads_description"			"减少 @Ability3 的冷却时间<% ITEM_RPC_DUNETREADS_CD_RED %>秒。"
		
		
    	"DOTA_Tooltip_ability_item_rpc_boots_of_the_violet_guard"						"紫罗兰卫士之靴"
    	"item_rpc_boots_of_the_violet_guard_ruby1"						"增加移动速度 @ruby_property1 以及攻击速度 @ruby_property2"
		"item_rpc_boots_of_the_violet_guard_emerald1"							"增加 @emerald_property1 点敏捷"
		"item_rpc_boots_of_the_violet_guard_sapphire1"							"增加物理穿透 @sapphire_property1点"
		"item_rpc_boots_of_the_violet_guard_amethyst1"							"增加 [R] 的基础技能伤害 @amethyst_property1%"
		"item_property_boots_of_the_violet_guard"					"紫罗兰之光"
		"property_boots_of_the_violet_guard_description"			"当你施放 @Ability3 时，向后方释放3道紫罗兰之光，造成20倍敏捷值的伤害。对精英怪造成60倍的伤害。每秒最多触发1次。"
		
    	"DOTA_Tooltip_ability_item_rpc_guardian_greaves"								"卫士胫甲"
    	"item_rpc_guardian_greaves_ruby1"								"每移动 @ruby_property1 点距离都会触发一次卫士胫甲"
    	"item_rpc_guardian_greaves_emerald1"								"卫士胫甲现在将会提供数值为 @emerald_property1x 倍敏捷的护甲和物理穿透，持续 <% ITEM_RPC_GUARDIAN_GREAVES_GEM_BUFF_DURATION %> 秒"
    	"item_rpc_guardian_greaves_sapphire1"								"增加力量值和智力值 @sapphire_property1 点"
    	"item_rpc_guardian_greaves_amethyst1"								"卫士胫甲现在也会施加一个卫士之盾，增加数值为 @amethyst_property1x 倍的精神值的魔甲和魔法穿透 ，持续 <% ITEM_RPC_GUARDIAN_GREAVES_GEM_BUFF_DURATION %>秒"
		"item_property_guardian_greaves"			"卫士进军"
		"property_guardien_greaves_description"		"施法 @Ability3 后将会触发卫士胫甲，为你和附近<% ITEM_RPC_GUARDIAN_GREAVES_RADIUS%>范围内的友军回复<% ITEM_RPC_GUARDIAN_GREAVES_HEAL_X_STRENGTH %>倍力量的生命值、<% ITEM_RPC_GUARDIAN_GREAVES_HEAL_X_INTELLIGENCE %>倍智力的魔法值，冷却时间为<% ITEM_RPC_GUARDIAN_GREAVES_COOLDOWN %>秒。"
		"DOTA_Tooltip_modifier_guardian_greaves_护甲"					"卫士进军"
		"DOTA_Tooltip_modifier_guardian_greaves_护甲_Description"		"护甲值提高"
		
		
    	"DOTA_Tooltip_ability_item_rpc_tranquil_boots"									"静谧之鞋"
        "item_rpc_tranquil_boots_ruby1"                                 "增加 @ruby_property1点最大生命值并且每1%的当前生命值增加物品伤害 @ruby_property2%"
        "item_rpc_tranquil_boots_emerald1"                                  "每点当前生命值增加 @emerald_property1 点魔甲和魔法穿透 "
        "item_rpc_tranquil_boots_sapphire1"                                 "增加 @sapphire_property1点最大生命值并且每 1% 的当前生命值增加基础技能伤害@sapphire_property2%"
        "item_rpc_tranquil_boots_amethyst1"                                 "Casting [E] summons a group of restorative wisps that heal @amethyst_property1% of max health every <% ITEM_RPC_TRANQUIL_BOOTS_AMETHYST_INTERVAL %> 秒. Lasts <% ITEM_RPC_TRANQUIL_BOOTS_AMETHYST_DURATION %> 秒"
		"item_property_tranquil_boots"				"森林漫游"	
