
		"DOTA_Tooltip_ability_item_rpc_hurricane_vest"									"Hurricane Vest"
		"item_rpc_hurricane_vest_ruby1"									"blah blah @ruby_property1 gem"
		"item_rpc_hurricane_vest_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_hurricane_vest_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_hurricane_vest_amethyst1"									"blah blah @amethyst_property1 gem"
		"item_property_hurricane"					"Hurricane"
		"property_hurricane_description"			"When you cast @Ability4, a hurricane of <% ITEM_RPC_HURRICANE_VEST_HURRICANE_COUNT %> whirlwinds travel outward from you in all directions, slowing enemies' attack speed by <% ITEM_RPC_HURRICANE_VEST_ATT_SPD_REDUCE %> and movespeed by <% ITEM_RPC_HURRICANE_VEST_MSP_REDUCE %> for <% ITEM_RPC_HURRICANE_VEST_SLOW_DUR %> seconds. Each whirlwind also deals damage equal to <% ITEM_RPC_HURRICANE_VEST_DMG_AMP %> * (Hero Level / 120) * (<% ITEM_RPC_HURRICANE_VEST_MAX_DISTANCE %> - distance between caster and target))^<% ITEM_RPC_HURRICANE_VEST_DMG_EXP_SCALE %>; the winds lose strength as they travel."
		"DOTA_Tooltip_modifier_hurricane_vest_hurricane"	"Hurricane"
		"DOTA_Tooltip_modifier_hurricane_vest_hurricane_Description"	"Buffeted by strong winds"
		"DOTA_Tooltip_modifier_modifier_hurricane_vest_slow"			"Hurricane slow"
		"DOTA_Tooltip_modifier_modifier_hurricane_vest_slow_Description"	"Slowed"


		"DOTA_Tooltip_ability_item_rpc_barons_storm_armor"								"Baron's Storm Armor"
		"item_rpc_barons_storm_armor_ruby1"								"blah blah @ruby_property1 gem"
		"item_rpc_barons_storm_armor_emerald1"								"blah blah @emerald_property1 gem"
		"item_rpc_barons_storm_armor_sapphire1"								"blah blah @sapphire_property1 gem"
		"item_rpc_barons_storm_armor_amethyst1"								"blah blah @amethyst_property1 gem"
		"item_property_baron_storm"								"Storm Link"
		"property_baron_storm_description"						"Arc lightning is discharged against enemies that damage you, dealing <% ITEM_RPC_BARONS_STORM_ARMOR_DMG_PER_ATT %>x your total attack damage and chaining between other nearby enemies up to <% ITEM_RPC_BARONS_STORM_ARMOR_MAX_TARGETS %> times. Electrocuted enemies deal <% ITEM_RPC_BARONS_STORM_ARMOR_DMG_RESISTANCE * 100 %>% less damage to you for <% ITEM_RPC_BARONS_STORM_ARMOR_DUR%> seconds. This arc takes <% ITEM_RPC_BARONS_STORM_ARMOR_COOLDOWN %> seconds to recharge."
		"DOTA_Tooltip_modifier_baron_storm_link"				"Storm Link"
		"DOTA_Tooltip_modifier_baron_storm_link_Description"	"Dealing reduced damage to caster."
		
		
		"DOTA_Tooltip_ability_item_rpc_steelbark_guard"									"Steelbark Guard"
		"item_rpc_steelbark_guard_ruby1"									"blah blah @ruby_property1 gem"
		"item_rpc_steelbark_guard_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_steelbark_guard_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_steelbark_guard_amethyst1"									"blah blah @amethyst_property1 gem"
		"DOTA_Tooltip_ability_item_rpc_steelbark_guard_Description"						"Slot: Body"
		"item_property_steelbark"			"Steelbark Protection"
		"property_steelbark_description"	"While below 40% max health, gain 100 health regen and 40 bonus Armor."
		
		
		"DOTA_Tooltip_ability_item_rpc_robe_of_flooding"								"Robe of Flooding"
		"item_rpc_robe_of_flooding_ruby1"								"blah blah @ruby_property1 gem"
