		"DOTA_Tooltip_ability_item_rpc_hurricane_vest"									"飓风背心"
		"item_property_hurricane"					"飓风"
		"property_hurricane_description"			"释放@Ability4后将会向周围释放 <% ITEM_RPC_HURRICANE_VEST_HURRICANE_COUNT %> 股旋风，造成 <% ITEM_RPC_HURRICANE_VEST_DAMAGE_ATTACK_PWR_PCT %>%攻击力的伤害"
		"DOTA_Tooltip_modifier_hurricane_vest_hurricane"	"飓风"
		"DOTA_Tooltip_modifier_hurricane_vest_hurricane_Description"	"被强风吹起"
		"DOTA_Tooltip_modifier_modifier_hurricane_vest_slow"			"飓风减速"
		"DOTA_Tooltip_modifier_modifier_hurricane_vest_slow_Description"	"被减速"

		"item_rpc_hurricane_vest_ruby1"									"增加飓风的数量 @ruby_property1"
		"item_rpc_hurricane_vest_emerald1"									" @emerald_property1x 敏捷将会加入至飓风的基础伤害"
		"item_rpc_hurricane_vest_sapphire1"									"飓风现在也会降低敌人的攻击速度和移动速度 @sapphire_property1 点并且提高飓风的伤害@sapphire_property2"
		"item_rpc_hurricane_vest_amethyst1"									"释放 [E] 后将会释放  @amethyst_property1 股飓风"


		"DOTA_Tooltip_ability_item_rpc_barons_storm_armor"								"男爵风暴装甲"
		"item_property_baron_storm"								"风暴链接"
		"property_baron_storm_description"						"受到伤害时有<% ITEM_RPC_BARONS_STORM_ARMOR_CHANCE %>% 概率产生一道闪电，对敌人造成 <% ITEM_RPC_BARONS_STORM_ARMOR_DMG_PER_ATT %>% 总攻击力的伤害并且跳跃至目标附近的敌人，最多跳跃<% ITEM_RPC_BARONS_STORM_ARMOR_MAX_TARGETS %> 次。每秒最多触发<% ITEM_RPC_BARONS_STORM_ARMOR_MAX_PROCS_PER_SECOND %> 次。" 
		"DOTA_Tooltip_modifier_baron_storm_link"				"风暴电弧"
		"DOTA_Tooltip_modifier_baron_storm_link_Description"	"对施法者造成的伤害将会降低"

		"item_rpc_barons_storm_armor_ruby1"								"提高触发概率 @ruby_property1%"
		"item_rpc_barons_storm_armor_emerald1"								"增加每秒最多触发数@emerald_property1次. 增加最大弹跳数@emerald_property2"
		"item_rpc_barons_storm_armor_sapphire1"								"被连环闪电击中的敌人将会被麻痹@sapphire_property1 秒"
		"item_rpc_barons_storm_armor_amethyst1"								"增加风暴电弧的伤害 @amethyst_property1点"
		
		
		"DOTA_Tooltip_ability_item_rpc_steelbark_guard"									"钢铁护甲"
		"item_rpc_steelbark_guard_ruby1"									"无效果"
		"item_rpc_steelbark_guard_emerald1"									"无效果"
		"item_rpc_steelbark_guard_sapphire1"									"无效果"
		"item_rpc_steelbark_guard_amethyst1"									"无效果"
		"DOTA_Tooltip_ability_item_rpc_steelbark_guard_Description"						"部位：身体"
		"item_property_steelbark"			"钢铁守卫"
		"property_steelbark_description"	"当生命值低于40%时，护甲值增加40点，每秒生命值回复速度增加100点。"
		
		
		"DOTA_Tooltip_ability_item_rpc_robe_of_flooding"								"洪水法袍"
		"item_property_flooding"					"水元素"
		"property_flooding_description"			"当你释放@Ability4后，召唤一个水元素，水元素拥有ITEM_RPC_ROBE_OF_FLOODING_HEALTH_MULT %>x 召唤者的生命值以及<% ITEM_RPC_ROBE_OF_FLOODING_ATTACK_MULT %> x的召唤者的攻击力。同一时间只能存在一个水元素，水元素的造成的伤害算作召唤者造成的伤害。"
		"water_elemental_flood_3"				"水元素"

		"DOTA_Tooltip_ability_flood_water_elemental_ai"		"水元素AI"
		"DOTA_Tooltip_ability_flood_water_elemental_ai_Description"	"开启后使其获得默认AI控制"	

		"DOTA_Tooltip_ability_water_flood_nuke"	"绿宝石水元素"
		"DOTA_Tooltip_ability_water_flood_nuke_Description"	"向目标地点发射水球，造成基于攻击力的伤害。"

		"item_rpc_robe_of_flooding_ruby1"								"水元素的普通攻击将会对<% ITEM_RPC_ROBE_OF_FLOODING_RUBY_AOE %>范围内的敌人造成 @ruby_property1% 他的攻击力的伤害并且降低所有受到影响的敌人的移动速度 @ruby_property2，持续<% ITEM_RPC_ROBE_OF_FLOODING_RUBY_SLOW_DURATION %>秒。"
		"item_rpc_robe_of_flooding_emerald1"								"增加水元素 @emerald_property1点攻击速度加成并且现在水元素拥有一个波浪技能，该技能造成 @emerald_property2% 水元素攻击力的伤害"
		"item_rpc_robe_of_flooding_sapphire1"								"增加水元素的最大生命值和攻击力，数值为 @sapphire_property1x 召唤者的智力"
		"item_rpc_robe_of_flooding_amethyst1"								"增加水元素移动速度 @amethyst_property1 并且普通攻击回复召唤者@amethyst_property2%最大魔法值"
		
		"DOTA_Tooltip_ability_item_rpc_avalanche_plate"								"崩裂板甲"
		"item_property_avalanche_2"					"山裂"
		"property_avalanche_description"			"释放@Ability4后，引发一个 <% ITEM_RPC_AVALANCHE_PLATE_AVALANCHE_RADIUS %>范围的山崩，每 <% ITEM_RPC_AVALANCHE_PLATE_AVALANCHE_INTERVAL %> 秒造成<% ITEM_RPC_AVALANCHE_PLATE_AVALANCHE_STR_TO_DMG %>x 你的力量值的伤害。被击中的敌人将会被眩晕 <% ITEM_RPC_AVALANCHE_PLATE_STUN_DUR %> 秒。山崩持续 <% ITEM_RPC_AVALANCHE_PLATE_DURATION %> 秒。"
		
		"item_rpc_avalanche_plate_ruby1"								"在山崩结束后引发一次地震，对<% ITEM_RPC_AVALANCHE_PLATE_RUBY_EARTHQUAKE_RADIUS_MULT %>x山崩范围内的敌人造成 @ruby_property1x 力量值的伤害并且眩晕他们 @ruby_property2 秒。"
		"item_rpc_avalanche_plate_emerald1"								"增加物品伤害和 <font color=\"#AF843D\">土</font>元素伤害 @emerald_property1%"
		"item_rpc_avalanche_plate_sapphire1"								"增加山崩的范围 @sapphire_property1 并且增加力量@sapphire_property2点"
		"item_rpc_avalanche_plate_amethyst1"								"增加山崩的伤害@amethyst_property1"
		
		
