    	"DOTA_Tooltip_ability_item_rpc_aquasteel_bracers"                                "Aquasteel Bracers"
        "item_property_aquasteel"                                "Water Jet"
        "property_aquasteel_description"                        "<% ITEM_RPC_AQUASTEEL_BRACERS_CHANCE %>% шанс при получении урона выпустить поток воды в сторону источника урона, поток наносит урон <% ITEM_RPC_AQUASTEEL_BRACERS_ATTACK_TO_DMG %>% от Силы Атаки, а также оглушает цели на <% ITEM_RPC_AQUASTEEL_BRACERS_STUN_DUR %> сек."
        "item_rpc_aquasteel_bracers_ruby1"                                "Увеличивает урон потока на @ruby_property1, а длительность оглушения на @ruby_property2"
        "item_rpc_aquasteel_bracers_emerald1"                                "Выпускает поток воды в случайную цель поблизости в радиусе <% ITEM_RPC_AQUASTEEL_BRACERS_EMERALD_RANGE %> каждые @emerald_property1 сек"
        "item_rpc_aquasteel_bracers_sapphire1"                                "Увеличивает Броню на @sapphire_property1, а урон потока воды на @sapphire_property2% от показателя Брони"
        "item_rpc_aquasteel_bracers_amethyst1"                                "Противники задетые [R] будут поражены потоками воды. Максимум @amethyst_property1 срабатываний в секунду"

    	"DOTA_Tooltip_ability_item_rpc_autumnrock_bracer"								"Autumnrock Bracer"

		"item_property_autumnrock_bracer"						"Fissure"
		 "property_autumnrock_bracer_description"				"<% ITEM_RPC_AUTUMNROCK_BRACER_CHANCE %>% шанс при получении урона выпустить земляной разлом в сторону источника урона (с задержкой <% ITEM_RPC_AUTUMNROCK_BRACER_TRAVEL_DELAY %> сек). Разлом оглушает на <% ITEM_RPC_AUTUMNROCK_BRACER_STUN_DUR %> и наносит <% ITEM_RPC_AUTUMNROCK_BRACER_DMG_PER_STR %>x от Силы героя Магическим уроном. Максимум <% ITEM_RPC_AUTUMNROCK_BRACER_MAX_PROCS_PER_SEC %> срабатываний в секунду."

    	"item_rpc_autumnrock_bracer_ruby1"								"Увеличивает Силу на @ruby_property1 и шанс срабатывания разлома на @ruby_property2%"
    	"item_rpc_autumnrock_bracer_emerald1"								"Увеличивает урон разлома на @emerald_property1 и продолжительность оглушения на @emerald_property2"
    	"item_rpc_autumnrock_bracer_sapphire1"								"Уменьшает задержку разлома на @sapphire_property1 сек и увеличивает Урон Предметов на@sapphire_property2%"
    	"item_rpc_autumnrock_bracer_amethyst1"								"Прочтение [W] имеет @amethyst_property1% шанс создать разлом под ближайшим противником в радиусе <% ITEM_RPC_AUTUMNROCK_BRACER_AMETHYST_SEARCH_RANGE %>"

