
    	"DOTA_Tooltip_ability_item_rpc_basilisk_plague_helm"							"Basilisk Plague Helm"
		"item_property_basilisk_plague"					"Depth Rot"
		"property_basilisk_plague_description"				"A cloud of foul rot surrounds you, slowing the movement speed of nearby enemies by <% BASILISK_PLAGUE_MOVESPEED_REDUCE_PCT %>% and reducing their attack speed by <% BASILISK_PLAGUE_ATT_SPD_REDUCE %>. Enemies who are exposed to the rot for <% BASILISK_PLAGUE_TIME_BEFORE_STONE_FORM %> seconds are petrified for <% BASILISK_PLAGUE_STONE_FORM_DUR %> seconds, paralyzing them while granting Spell Immunity and a <% BASILISK_PLAGUE_PHYSICAL_POSTMIT * 100%>% post-mitigation weakness to Physical damage."
        "DOTA_Tooltip_modifier_basilisk_plague_petrify"	"Depth Rot Petrify"
		"DOTA_Tooltip_modifier_basilisk_plague_petrify_Description"	"Turned to stone. Spell Immune, vulnerable to Physical damage."

		
    	"DOTA_Tooltip_ability_item_rpc_brazen_kabuto_of_the_desert_realm"				"Brazen Kabuto of the Desert Realm"
		"item_property_brazen_kabuto"				"Warrior's Rampart"
		"property_brazen_kabuto_description"		"100% damage immunity while channeling @Ability4. When the channel is finished, gain a shield that grants <% KABUTO_SHIELD_RESISTANCE * 100 %>% damage reduction for <% KABUTO_SHIELD_DUR %> seconds."
		"DOTA_Tooltip_modifier_brazen_kabuto_channeling"	"Warrior's Rampart"
		"DOTA_Tooltip_modifier_brazen_kabuto_description"	"Magic and damage immunity"
		"DOTA_Tooltip_modifier_brazen_kabuto_shield"	"Warrior's Rampart"
        "DOTA_Tooltip_modifier_brazen_kabuto_shield"	"Reduce incoming damage by <% KABUTO_SHIELD_RESISTANCE * 100 %>%."
		

    	"DOTA_Tooltip_ability_item_rpc_shipyard_veil_lv1"								"Shipyard Veil LV1"
		 "item_property_shipyard_veil_1"					"Soul Shield I"
		 "property_shipyard_veil_1_description"				"Each enemy hit by @Ability1 applies a shield stack that absorbs an instance of damage (0.1 second cooldown). Max @special_property1 stacks. Each stack increases @Ability1 damage by @special_property2%. Whenever a damage instance is absorbed,<br>this property increases by 1. Upgrades at @special_property3."

		 
		 "DOTA_Tooltip_ability_item_rpc_shipyard_veil_lv2"								"Shipyard Veil LV2"
		 "item_property_shipyard_veil_2"					"Soul Shield II"
		 "property_shipyard_veil_2_description"				"Each enemy hit by @Ability1 applies a shield stack that absorbs an instance of damage (0.1 second cooldown). Max @special_property1 stacks. Each stack increases @Ability1 damage by @special_property2%. Whenever a damage instance is absorbed,<br>this property increases by 1. Upgrades at @special_property3."

		 
		 "DOTA_Tooltip_ability_item_rpc_shipyard_veil_lv3"								"Shipyard Veil LV3"
		 "item_property_shipyard_veil_3"					"Soul Shield III"
		 "property_shipyard_veil_3_description"				"Each enemy hit by @Ability1 applies a shield stack that absorbs an instance of damage (0.1 second cooldown). Max @special_property1 stacks. Each stack increases @Ability1 damage by @special_property2%. Enemies who damage the shield are targeted by a skull that deals<br>@special_property3x your primary attribute as magic damage."

		 
		 "DOTA_Tooltip_modifier_shipyard_veil_shield"			"Soul Shield"
		 "DOTA_Tooltip_modifier_shipyard_veil_shield_Description"			"Absorbing damage instances."


    	"DOTA_Tooltip_ability_item_rpc_crown_of_the_lava_forge"							"Crown of the Lava Forge"
		 "item_property_lava_forge"							"Eject Tephra"
		 "property_lava_forge_description"					"When taking damage, launch a fireball towards the damage source that deals <% LAVA_FORGE_DMG_PER_ATT %>x your attack damage + <% LAVA_FORGE_DMG_PER_AGI %>x your Agility in a small radius on impact."
		 
		 
		"DOTA_Tooltip_ability_item_rpc_white_mage_hat"									"White Mage Hat LV1"
		"item_property_white_mage_hat"				"Cura"
		"property_white_mage_hat_description"		"@Ability2 also restores HP for you and nearby allies, based on @special_property1x your intelligence. Whenever you heal yourself or an ally, this property increases by 1. Upgrades at 5000."
		
		
    	"DOTA_Tooltip_ability_item_rpc_white_mage_hat_2"								"White Mage Hat LV2"
		"item_property_white_mage_hat_2"			"Curaga"
		"property_white_mage_hat_2_description"		"@Ability2 also restores HP for you and nearby allies, based on @special_property1x your intelligence. Any over heal applies a shield that absorbs equivalent damage, up to 100% of target's max health. Base Ability damage is increased by @special_property2% for each 10 points of intelligence."
		"DOTA_Tooltip_modifier_white_mage_shield"	"White Mage Shield"
		"DOTA_Tooltip_modifier_white_mage_shield_Description"	"Absorbing Damage"
		
		
    	"DOTA_Tooltip_ability_item_rpc_hyper_visor"										"Hyper Visor LV1"
		"item_property_hyper_visor"					"Hyper Lightning"
		"property_hyper_visor_description"			"@special_property1% chance on attack to drop a lightning bolt on your target - dealing damage in a small AOE based on @special_property2x your attack power. Property counts up by 1 each time lightning strikes. Upgrades at @special_property3."
		
		
    	"DOTA_Tooltip_ability_item_rpc_hyper_visor2"									"Hyper Visor LV2"
		"item_property_hyper_visor2"					"Hyper Lightning II"
		"property_hyper_visor2_description"			"@special_property1% chance on attack to drop a lightning bolt on your target - dealing damage in a small AOE based on @special_property2x your attack power. Reduces your attack animation point by @special_property3 seconds.<br>All damage dealt directly by items is enhanced by @special_property4% for each 10 points of Agility."
		
		
    	"DOTA_Tooltip_ability_item_rpc_crown_of_ruby_dragon"							"Crown of the Ruby Dragon"	
		"item_property_ruby_dragon"					"Ruby Dragon"
		"property_ruby_dragon_description"			"When you finish casting @Ability4 - summon a ruby dragon that breathes fire on enemies that deals @special_property1x your strength on impact and @special_property2x your strength every 0.5 seconds for 3 seconds as burn damage.<br>All damage dealt directly by items is enhanced by @special_property3% for each 10 points of strength."
		
		
    	"DOTA_Tooltip_ability_item_rpc_centaur_horns"									"Sturdy Centaur Horns"	
		"item_property_centaur_horns"				"Rigidity"
