
    	"DOTA_Tooltip_ability_item_rpc_basilisk_plague_helm"							"Basilisk Plague Helm"
		"item_property_basilisk_plague"					"Depth Rot"
		"property_basilisk_plague_description"				"Облако губительного газа окружает героя, попавшие в которое противники замедляются на <% BASILISK_PLAGUE_MOVESPEED_REDUCE_PCT %>% и снижают скорость атаки на <% BASILISK_PLAGUE_ATT_SPD_REDUCE %>. Противники, находящиеся в газе более <% BASILISK_PLAGUE_TIME_BEFORE_STONE_FORM %> секунд превращаются в камень на <% BASILISK_PLAGUE_STONE_FORM_DUR %> сек., будучи парализованными, но иммунными к любой магии, они получают <% BASILISK_PLAGUE_PHYSICAL_POSTMIT * 100%>% больше Физического пост-резистного урона."
        "DOTA_Tooltip_modifier_basilisk_plague_petrify"	"Depth Rot Petrify"
		"DOTA_Tooltip_modifier_basilisk_plague_petrify_Description"	"Превращён в камень. Иммунитет к магии."

		
    	"DOTA_Tooltip_ability_item_rpc_brazen_kabuto_of_the_desert_realm"				"Brazen Kabuto of the Desert Realm"
		"item_property_brazen_kabuto"				"Warrior's Rampart"
		"property_brazen_kabuto_description"		"Пока произносится способность (R) @Ability4, герой полностью неуязвим. После прочтения накладывается <% KABUTO_SHIELD_RESISTANCE * 100 %>% снижение входящего урона на <% KABUTO_SHIELD_DUR %> сек."
		"DOTA_Tooltip_modifier_brazen_kabuto_channeling"	"Warrior's Rampart"
		"DOTA_Tooltip_modifier_brazen_kabuto_description"	"Иммунитет к магии и урону."
		"DOTA_Tooltip_modifier_brazen_kabuto_shield"	"Входящий урон снижен на <% KABUTO_SHIELD_RESISTANCE * 100 %>%."
        "DOTA_Tooltip_modifier_brazen_kabuto_shield"	"Входящий урон снижен на <% KABUTO_SHIELD_RESISTANCE * 100 %>%."
		

		 "DOTA_Tooltip_ability_item_rpc_shipyard_veil_lv1"								"Shipyard Veil"
		 "item_property_shipyard_veil_3"					"Soul Shield"
		 "property_shipyard_veil_3_description"				"Каждый враг, задетый (Q) @Ability1 даст герою заряд щита, способного полностью поглощать урон. Максимум зарядов - <% SHIPYARD_VEIL_MAX_STACKS %>, минимальный интервал создания щитов <% SHIPYARD_SHIELD_COOLDOWN %>. Каждый заряд дополнительно увеличивает урон (Q) @Ability1 на <% SHIPYARD_VEIL_BAD_PER_STACK %>%. Враг, атаковавший героя во время активного щита будет ответно атакован черепом, который нанесёт магический урон в размере <% SHIPYARD_SHIELD_PRIMARY_ATT_AS_DMG %>x от основного атрибута героя."

		 
		 "DOTA_Tooltip_modifier_shipyard_veil_shield"			"Soul Shield"
		 "DOTA_Tooltip_modifier_shipyard_veil_shield_Description"			"Absorbing damage instances."


    	"DOTA_Tooltip_ability_item_rpc_crown_of_the_lava_forge"							"Crown of the Lava Forge"
		 "item_property_lava_forge"							"Lava Blast"
		 "property_lava_forge_description"					"При получении урона в сторону атакующего будет выпущен огненный шар, наносящий урон самой цели при попадании и соседним целям в небольшом радиусе в размере <% LAVA_FORGE_DMG_PER_ATT %>x базового урона + <% LAVA_FORGE_DMG_PER_AGI %>x Ловкости."
		 
		 
    	"DOTA_Tooltip_ability_item_rpc_white_mage_hat"								"White Mage Hat"
		"item_property_white_mage_hat_2"			"Curaga"
		"property_white_mage_hat_2_description"		"Каждое прочтение (W) @Ability2 дополнительно восстановит здоровье вам и вашим союзникам в размере <% WHITE_MAGE_INT_TO_HEAL %>x вашего Интеллекта. Когда цели имеют полное здоровье, каждое следующее применение эффекта наделит их щитом, который способен поглотить урон. Сила щита зависит от силы лечения, но не более 100% от максимального здоровья цели.<br>Базовый Урон Способностей увеличивается на <% WHITE_MAGE_BAD_PER_INT %>% за каждые <% WHITE_MAGE_INT_DIVISOR %> очков Интеллекта."
		"DOTA_Tooltip_modifier_white_mage_shield"	"White Mage Shield"
		"DOTA_Tooltip_modifier_white_mage_shield_Description"	"Поглощение урона"
		
		
    	"DOTA_Tooltip_ability_item_rpc_hyper_visor"									"Hyper Visor"
		"item_property_hyper_visor2"				"Hyper Lightning"
		"property_hyper_visor2_description"			"С <% HYPER_VISOR_CHANCE %>% шансом вместе с вашими атаками во врага ударит молния, которая нанесет урон по области равный <% HYPER_VISOR_ATTACK_TO_DMG %>x от вашего урона. Снижает базовое время атаки <% HYPER_VISOR_BAT %> сек.<br>Весь урон, напрямую наносимый предметами увеличивается на <% HYPER_VISOR_AGI_TO_ITEM_AMP %>% за каждые <% HYPER_VISOR_AGI_DIVISOR %> очков Ловкости."
		
		
    	"DOTA_Tooltip_ability_item_rpc_crown_of_ruby_dragon"							"Crown of the Ruby Dragon"	
		"item_property_ruby_dragon"					"Ruby Dragon"
		"property_ruby_dragon_description"			"При успешном прочтении (R) @Ability4 на поле боя будет призван рубиновый дракон на <% RUBY_DRAGON_DURATION %> сек. способный выдыхать огонь, наносящий урон, равный <% RUBY_DRAGON_IMPACT_DMG_PER_STR %>x вашей Силы и оставлять горение на целях в течение <% RUBY_DRAGON_TICK_DURATION %> сек. Каждый дебафф горения имеет собственную независимую длительность и урон."
		
		
    	"DOTA_Tooltip_ability_item_rpc_centaur_horns"									"Sturdy Centaur Horns"	
		"item_property_centaur_horns"				"Rigidity"
		"property_centaur_horns_description"		"Все получаемые оглушения длятся не более <% CENTAUR_HORNS_SELF_DMG_TICKRATE %> секунды. Любой получаемый урон не отнимет более <% CENTAUR_HORNS_DAMAGE_CAP %>% здоровья от максимума. Получение урона из любых источников, кроме самого шлема, отключает возможность восстанавливать здоровье на <% CENTAUR_HORNS_DEBUFF_DURATION %> секунды. Герой получает <% CENTAUR_HORNS_SELF_DMG %> ед. чистого урона каждые <% CENTAUR_HORNS_SELF_DMG_TICKRATE %> секунды."
		"DOTA_Tooltip_modifier_centaur_horns_debuff"				"Rigidity"
		"DOTA_Tooltip_modifier_centaur_horns_debuff_Description"	"Невозможно восстановить здоровье"
		
		
    	"DOTA_Tooltip_ability_item_rpc_hood_of_chosen"									"Hood of the Chosen"	
		
		
    	"DOTA_Tooltip_ability_item_rpc_death_whisper_helm"								"Death Whisper Helm"
		"item_property_death_whisper"				"Death Whisper"
		"property_death_whisper_description"		"Все враги, задетые способностью (Q) @Ability1 будут замедлены на <% DEATH_WHISPER_SLOW %> и получать на <% DEATH_WHISPER_DAMAGE_AMP_PCT %>% больше урона из всех источников в течение <% DEATH_WHISPER_DURATION %> секунд."
		
		
    	"DOTA_Tooltip_ability_item_rpc_cap_of_wild_nature"								"Cap of Wild Nature"
		"item_property_wild_nature"					"Entangling Roots"
		"property_wild_nature_description"			"С <% CAP_OF_WILD_NATURE_CHANCE_ONE %>% шансом враг, атакующий вас будет связан в течение <% CAP_OF_WILD_NATURE_DURATION_ONE %> секунд и будет получать ежесекундный урон равный <% CAP_OF_WILD_NATURE_DAMAGE_PER_ATTRIBUTES %>х вашего основного атрибута."
		"item_property_wild_nature_two"				"Ensnaring Roots"
		"property_wild_nature_two_description"		"Задетые способностью (W) @Ability2 враги с <% CAP_OF_WILD_NATURE_CHANCE_TWO %>% шансом будут обездвижены на <% CAP_OF_WILD_NATURE_DURATION_TWO %> сек. и будут получать ежесекундный урон, равный <% CAP_OF_WILD_NATURE_DAMAGE_PER_ATTRIBUTES %>x вашего основного атрибута."
		
		
    	"DOTA_Tooltip_ability_item_rpc_guard_of_luma"									"Guard of Luma"
		"item_property_luma"						"Moon Beams"
		"property_luma_description"					 "<font color=\"#E4AE33\">АУГМЕНТАЦИЯ:</font> Урон от умения (Q) @Ability1 с <% LUMA_BEAM_CHANCE %>% шансом может быть нанесен лунными лучами, которые наносят урон, равный <% LUMA_DAMAGE_AMP %>% от урона умения и даёт беспрепятственный обзор местности в месте над атакованной целью на <% LUMA_VISION_DURATION %> секунды. Этот предмет ограничивает ваш стихийный урон <font color=\"#C25DFC\">Космоса</font> на <% LUMA_ELEMENT_CAP %>%."
		
		
    	"DOTA_Tooltip_ability_item_rpc_odin_helmet"										"Odin Helmet"
		"item_property_odin"						"Zantetsuken"
		"property_odin_description"					"С <% ODIN_HELMET_CHANCE %>% шансом все атаки и способности могут умножить урон на <% ODIN_HELMET_MULT %>. Считается Пост-Резистным усилением, но является отдельным множителем."
		
		
    	"DOTA_Tooltip_ability_item_rpc_iron_colussus"									"Helm of the Iron Colossus"
		"item_property_iron_colossus"				"Iron Colossus"	
		"property_iron_colossus_description"		"Каждое очко Силы увеличивает базовую атаку на <% IRON_COLOSSUS_ATT_PER_STR %>, а броню на <% IRON_COLOSSUS_AMR_PER_STR %> и герой становится больше на 15%. Скорость атаки фиксируется на <% IRON_COLOSSUS_ATT_SPD %>, а радиус атаки на <% IRON_COLOSSUS_ATT_RNG %>. Стандартые атаки оглушают противников на 0.5 секунды, и наносят дополнительно <% IRON_COLOSSUS_DMG_PER_ATT %>x физическим уроном. @Ability2 стоит на 1000 маны больше."
		"DOTA_Tooltip_modifier_iron_colossus"					"Iron Colossus"
		"DOTA_Tooltip_modifier_iron_colossus_description"		"К атакам добавляется 50х физического урона, атаки оглушают врагов на 0.5 секунды. Скорость атаки заблокирована на значении 120. Урон и броня увеличены в зависимости от Силы героя."
		
		
    	"DOTA_Tooltip_ability_item_rpc_mask_of_mugato"									"Mask of Mugato"
		"item_property_mugato"						"Curse of Mugato"	
		"property_mugato_description" 				"Прочтение любого заклинания накладывает безмолвие на <% MUGATO_SPELL_SILENCE_DUR %> секунды, нанесение атаки - на <% MUGATO_ATTACK_SILENCE_DUR %> секунды. Герой, находясь в безмолвии, увеличивает свой пост-резистный урон на <% MUGATO_POST_MITI_PCT %>%."
		
		
    	"DOTA_Tooltip_ability_item_rpc_swamp_witch_hat"									"Swamp Witch's Hat"
		"item_property_swamp_witch"					"Murky Wave"
		"property_swamp_witch_description"			"Каждое использование (W) @Ability2 выпустит перед собой рой летучих мышей, который нанесёт магичский урон в размере <% SWAMP_WITCH_HAT_INT_TO_DMG %>x вашего Интеллекта. Враги, задетые волной также будут получать на <% SWAMP_WITCH_HAT_POST_MITI %>% больше пост-резистного урона на <% SWAMP_WITCH_HAT_DURATION %> секунд. Складывается до <% SWAMP_WITCH_HAT_MAX_STACKS %> раз."
		"DOTA_Tooltip_modifier_witch_hat_damage_amp"	"Murky Wave"
		"DOTA_Tooltip_modifier_witch_hat_damage_amp_Description"	"Пост-резистный урон увеличен на 15%% за каждый заряд."
		
		
    	"DOTA_Tooltip_ability_item_rpc_tricksters_mask"									"Trickster's Mask"
		"item_property_trickster"					"Laughing Gas"
		"property_trickster_description"			"Каждое использование (W) @Ability2 мгновенно переместит вас на расстояние <% TRICKSTER_MASK_RANGE %> юнитов в случайном направлении. Любой исходящий урон каждый раз умножается на случайное число от <% TRICKSTER_MASK_ALL_DMG_MULT_MIN %> до <% TRICKSTER_MASK_ALL_DMG_MULT_MAX %>. Дополнительно Базовый Урон Способности (W) @Ability2 умножается на случайное число от <% TRICKSTER_MASK_W_DMG_MULT_MIN %> до <% TRICKSTER_MASK_W_DMG_MULT_MAX %>. Модификаторы удачи влияют на шанс."
		
		
    	"DOTA_Tooltip_ability_item_rpc_emerald_douli"									"Emerald Douli"
		"item_property_emerald_douli"				"Mana Shield"
		"property_emerald_douli_description"		"<% EMERALD_DOULI_ABSORBED_DMG_PCT %>% отнимается из маны вместо здоровья. 1 очко маны может поглотить <% EMERALD_DOULI_DMG_ABSORB_PER_MANA %> урона. Эффект не работает при показателе маны ниже <% EMERALD_DOULI_MANA_THRESHOLD_PCT %>%."
		
		
    	"DOTA_Tooltip_ability_item_rpc_mask_of_tyrius"									"Mask of Tyrius"
		"item_property_tyrius"						"Might of Tyrius"
		"property_tyrius_description"				"Каждое очко Силы увеличивает здоровье на <% TYRIUS_HP_PER_STR %> и ману на <% TYRIUS_MANA_PER_STR %>."
		
		
    	"DOTA_Tooltip_ability_item_rpc_veil_of_the_cerulean_high_guard"					"Veil of the Cerulean Highguard"
		"item_property_cerulean_highguard"			"Concentrated Mana"
		"property_cerulean_highguard_description"	"Стоимость маны для (W) @Ability2 выше на <% CERULEAN_HIGHGUARD_MANA_INCREASE %>%, при этом способность нанесёт на <% CERULEAN_HIGHGUARD_BAD %>% больше урона."
		
		
    	"DOTA_Tooltip_ability_item_rpc_super_ascendency_mask"							"Super Ascendency Mask"
		"item_property_super_ascendency"			"Super Ascension"
		"property_super_ascendency_description"		"После прочтения способности (R) @Ability4 атаки получат дополнительную дальность <% SUPER_ASCENDENCY_ATK_RANGE %> юнитов, урон атак увеличен на <% SUPER_ASCENDENCY_ATK_PCT %>%, скорость атаки увеличивается на <% SUPER_ASCENDENCY_ATK_SPD %>, а скорость передвижения увеличивается на <% SUPER_ASCENDENCY_MOVE_SPD %>. Атаки могут одновременно поразить до <% SUPER_ASCENDENCY_TARGETS %> целей, а каждое успешное попадание по врагу снижает время перезарядки (R) @Ability4 на <% SUPER_ASCENDENCY_CD_RED %> секунды. Эффект длится столько же, сколько занимает перезарядка @Ability4, либо как минимум <% SUPER_ASCENDENCY_MIN_DURATION %> секунд."
		"DOTA_Tooltip_modifier_super_ascendency_trigger"	"Super Ascension"
		"DOTA_Tooltip_modifier_super_ascendency_trigger_Descrtiption"	"<% SUPER_ASCENDENCY_ATK_RANGE %> бонусной дальности атаки, <% SUPER_ASCENDENCY_ATK_PCT %>%% бонусного урона атаки, <% SUPER_ASCENDENCY_ATK_SPD %> скорости атаки и <% SUPER_ASCENDENCY_MOVE_SPD %> скорости передвижения. Мультишот по <% SUPER_ASCENDENCY_TARGETS %> целям. Каждая атака немного снижает оставшийся кулдаун способности R."
		
		
    	"DOTA_Tooltip_ability_item_rpc_mask_of_the_phantom_sorcerer"					"Mask of the Phantom Sorcerer"
		"item_property_phantom_sorcerer"			"Phantom Gaze"
		"property_phantom_sorcerer_description"		"Базовый урон (W) @Ability2 увеличивается на <% PHANTOM_SORCERER_BAD %>%, а время восстановления способности увеличивается на<% PHANTOM_SORCERER_CD_INCREASE %> секунды."
		
		
    	"DOTA_Tooltip_ability_item_rpc_arcane_cascade_hat"								"Arcane Cascade Hat"
		"item_property_arcane_cascade_hat"				"Arcane Cascade"
		"property_arcane_cascade_hat_description"		"Каждые <% ARCANE_CASCADE_TICKRATE %> секунды сжигается <% ARCANE_CASCADE_MANA_DRAIN * 100 %>% макс. маны. Все враги в радиусе <% ARCANE_CASCADE_RANGE %>, попавшие под эффект, получат магический урон в размере <% ARCANE_CASCADE_DAMAGE %>х."
		
		
    	"DOTA_Tooltip_ability_item_rpc_adamantine_samurai_helmet"						"Adamantine Samurai Helmet"
		"item_property_samurai_helmet"				"Critical Strike"
		"property_samurai_helmet_description"		"С <% ADAMANTINE_SAMURAI_CHANCE %>% шансом ваши атаки нанесут на <% ADAMANTINE_SAMURAI_CRIT %>% больший урон."
		
		
    	"DOTA_Tooltip_ability_item_rpc_scourge_knights_helm"							"Scourge Knight's Helm"
		"item_property_scourge_knight"				"Undead Command"
		"property_scourge_knight_description"		"После прочтения способности (R) @Ability4, призывает 5 недвижимых скелетов-лучников. Они имеют 15% от макс. здоровья героя и атаку, равную атаке героя."
		
		
    	"DOTA_Tooltip_ability_item_rpc_undertakers_hood"								"Undertaker's Hood"
		"item_property_undertaker"					"Death Strike"
		"property_undertaker_description"			"Вместе с вашими базовыми атаками выпускается медленно двигающаяся призрачная рука, наносящая 30x вашего интеллекта магическим уроном."
		
		
    	"DOTA_Tooltip_ability_item_rpc_shroud_of_eternal_night"							"Shroud of Eternal Night"
		"item_property_eternal_night"				"Tranquilizer"
		"property_eternal_night_description"		"Атакующие вас враги с 60% шансом уснут на 6 секунд. Любой урон мгновенно пробудит их ото сна. В первую секунду сна противник будет неуязвим."
		
		
    	"DOTA_Tooltip_ability_item_rpc_wolfir_druids_spirit_helm"						"Wolfir Druid's Spirit Helm"
		"item_property_druids_spirt"				"Feral Spirits"
		"property_druids_spirit_description"		"Во время произнесения (R) @Ability4 - призывает диких волков каждые 0.5 секунды. Волки приобретают 2х вашей базовой атаки, 25% от вашего макс. здоровья и 1x броню. Дикие волки живут 16 секунд. Каждый волк распространяет складывающуюся ауру 15% повышения урона."
		"DOTA_Tooltip_modifier_wolfir_druid_aura_effect"	"Feral Spirit"
