
		"DOTA_Tooltip_ability_item_rpc_blacksmiths_tablet"								"Blacksmith's Tablet"
		"item_property_blacksmiths_tablet"			"Refined Weaponry"
		"property_blacksmiths_tablet_description"	"Бонусы оружия (включая руны) увеличиваются на <% BLACKSMITH_TABLE_ADD_STATS_PCT * 100%>%. Дополнительно увеличивает получаемый оружием опыт на <% BLACKSMITH_TABLE_ADD_WEAPON_EXP * 100 %>%."

		"DOTA_Tooltip_ability_item_rpc_hope_of_saytaru"									"Hope of Saytaru"
		"item_property_saytaru"						"Last Hope"
		"property_saytaru_description"				"Когда здоровье опускается ниже <% SAYTARU_HP_THRESHOLD_PCT * 100 %>% дарует иммунитет к магии, увеличивает сопротивление Чистому урону на <% SAYTARU_PURE_DMG_RESISTANCE * 100 %>%, но уменьшает Магический и Чистый исходящий урон на <% SAYTARU_OUTPUT_PURE_AND_MAGIC_DMG_DECREASE * 100 %>%."

		"DOTA_Tooltip_ability_item_rpc_sapphire_lotus"									"Sapphire Lotus"
		"item_property_sapphire_lotus"				"Sapphire Soul"
		"property_sapphire_lotus_description"		"Каждое очко интеллекта увеличивает запас здоровья на <% SAPPHIRE_LOTUS_HP_PER_INT %>."

