
		"DOTA_Tooltip_ability_item_rpc_blacksmiths_tablet"								"铁匠牌匾"
		"item_rpc_blacksmiths_tablet_ruby1"								"blah blah @ruby_property1 gem"
		"item_rpc_blacksmiths_tablet_emerald1"								"blah blah @emerald_property1 gem"
		"item_rpc_blacksmiths_tablet_sapphire1"								"blah blah @sapphire_property1 gem"
		"item_rpc_blacksmiths_tablet_amethyst1"								"blah blah @amethyst_property1 gem"
		"item_property_blacksmiths_tablet"			"精制武器"
		"property_blacksmiths_tablet_description"	"武器属性和符文加成提高 <% BLACKSMITH_TABLE_ADD_STATS_PCT * 100%>%。同时，玩家的武器升级速度提高 <% BLACKSMITH_TABLE_ADD_WEAPON_EXP * 100 %>%。"

		
		"DOTA_Tooltip_ability_item_rpc_hope_of_saytaru"									"赛塔侞的希望"
		"item_rpc_hope_of_saytaru_ruby1"									"blah blah @ruby_property1 gem"
		"item_rpc_hope_of_saytaru_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_hope_of_saytaru_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_hope_of_saytaru_amethyst1"									"blah blah @amethyst_property1 gem"
		"item_property_saytaru"						"最后的希望"
		"property_saytaru_description"				"当生命值低于<% SAYTARU_HP_THRESHOLD_PCT * 100 %>%时获得魔法免疫，该状态下受到的纯粹伤害降低<% SAYTARU_PURE_DMG_RESISTANCE * 100 %>%，造成的魔法和纯粹伤害降低<% SAYTARU_OUTPUT_PURE_AND_MAGIC_DMG_DECREASE * 100 %>%"

		
		"DOTA_Tooltip_ability_item_rpc_sapphire_lotus"									"蓝莲花"
		"item_rpc_sapphire_lotus_ruby1"									"blah blah @ruby_property1 gem"
		"item_rpc_sapphire_lotus_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_sapphire_lotus_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_sapphire_lotus_amethyst1"									"blah blah @amethyst_property1 gem"
		"item_property_sapphire_lotus"				"蓝色魅力"
		"property_sapphire_lotus_description"		"每点智力值额外增加<% SAPPHIRE_LOTUS_HP_PER_INT %>点最大生命值。"

		
		"DOTA_Tooltip_ability_item_rpc_conquest_stone_falcon" 							"征服石猎鹰"
		"item_rpc_conquest_stone_falcon_ruby1" 							"blah blah @ruby_property1 gem"
		"item_rpc_conquest_stone_falcon_emerald1" 							"blah blah @emerald_property1 gem"
		"item_rpc_conquest_stone_falcon_sapphire1" 							"blah blah @sapphire_property1 gem"
		"item_rpc_conquest_stone_falcon_amethyst1" 							"blah blah @amethyst_property1 gem"
		"item_property_stone_falcon"						"圣物"
		"property_stone_falcon_description"				"受到的魔法伤害或者纯粹伤害不会超过你最大生命值的<% STONE_FALCON_HP_THRESHOLD %>%。"
		
		
		"DOTA_Tooltip_ability_item_rpc_never_ring"										"灵魂戒指"
		"item_rpc_never_ring_ruby1"										"blah blah @ruby_property1 gem"
		"item_rpc_never_ring_emerald1"										"blah blah @emerald_property1 gem"
		"item_rpc_never_ring_sapphire1"										"blah blah @sapphire_property1 gem"
		"item_rpc_never_ring_amethyst1"										"blah blah @amethyst_property1 gem"
    	"DOTA_Tooltip_ability_item_rpc_never_ring_Description"							"部位：饰品"
		
		
		"DOTA_Tooltip_ability_item_rpc_sand_tomb_orb"									"獠牙戒指"
		"item_rpc_sand_tomb_orb_ruby1"									"blah blah @ruby_property1 gem"
		"item_rpc_sand_tomb_orb_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_sand_tomb_orb_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_sand_tomb_orb_amethyst1"									"blah blah @amethyst_property1 gem"
		"DOTA_Tooltip_ability_item_rpc_sand_tomb_orb_Description"						"部位：饰品"
		
		
		"DOTA_Tooltip_ability_item_rpc_badge_of_honor"									"荣誉徽章"
		"item_rpc_badge_of_honor_ruby1"									"blah blah @ruby_property1 gem"
		"item_rpc_badge_of_honor_emerald1"									"blah blah @emerald_property1 gem"
		"item_rpc_badge_of_honor_sapphire1"									"blah blah @sapphire_property1 gem"
		"item_rpc_badge_of_honor_amethyst1"									"blah blah @amethyst_property1 gem"
		
		
		"DOTA_Tooltip_ability_item_rpc_monkey_paw"										"猴爪"
		"item_rpc_monkey_paw_ruby1"										"blah blah @ruby_property1 gem"
		"item_rpc_monkey_paw_emerald1"										"blah blah @emerald_property1 gem"
		"item_rpc_monkey_paw_sapphire1"										"blah blah @sapphire_property1 gem"
		"item_rpc_monkey_paw_amethyst1"										"blah blah @amethyst_property1 gem"
		"item_property_monkey_paw"					"摇曳的梦想"
		"property_monkey_paw_description"			"精英怪在玩家 <% MONKEY_PAW_AOE_PARAGON_TRIGGER %> 码 范围内死亡，会掉落额外的不朽装备。每额外掉落一件装备，将消耗 <% MONKEY_PAW_GOLD_COST_PCT %>% 的当前金钱。地图的难度决定额外掉落的装备的质量与等级，但同时也会增加掉落时所需的最少金钱数（<% MONKEY_PAW_GOLD_DIVISOR %>/<% MONKEY_PAW_GOLD_DIVISOR * 2 %>/<% MONKEY_PAW_GOLD_DIVISOR * 3 %> 普通难度/精英难度/传说难度）装备猴爪后，玩家每 <% MONKEY_PAW_DMG_TICK_RATE %> 秒将受到 1 点纯粹伤害。"
		
		
		"DOTA_Tooltip_ability_item_rpc_stone_of_gordon"									"戈登神石"
		"item_rpc_stone_of_gordon_ruby1"									"blah blah @ruby_property1 gem"
